number,value,datetime_start,datetime_complete,duration,params_episode_length,params_epsilon_max,params_epsilon_min,params_gamma,params_learning_rate,params_num_episodes,user_attrs_base_seed,user_attrs_collective_reward_mean,user_attrs_collective_reward_std,user_attrs_individual_reward_agent0_mean,user_attrs_individual_reward_agent0_std,user_attrs_num_episodes_mean,user_attrs_num_parallel_runs,user_attrs_run_0_collective_reward,user_attrs_run_0_individual_rewards,user_attrs_run_0_seed,user_attrs_run_0_total_individual_rewards,user_attrs_run_0_training_time_per_episode,user_attrs_run_0_training_time_total,user_attrs_run_1_collective_reward,user_attrs_run_1_individual_rewards,user_attrs_run_1_seed,user_attrs_run_1_total_individual_rewards,user_attrs_run_1_training_time_per_episode,user_attrs_run_1_training_time_total,user_attrs_run_2_collective_reward,user_attrs_run_2_individual_rewards,user_attrs_run_2_seed,user_attrs_run_2_total_individual_rewards,user_attrs_run_2_training_time_per_episode,user_attrs_run_2_training_time_total,user_attrs_run_3_collective_reward,user_attrs_run_3_individual_rewards,user_attrs_run_3_seed,user_attrs_run_3_total_individual_rewards,user_attrs_run_3_training_time_per_episode,user_attrs_run_3_training_time_total,user_attrs_run_4_collective_reward,user_attrs_run_4_individual_rewards,user_attrs_run_4_seed,user_attrs_run_4_total_individual_rewards,user_attrs_run_4_training_time_per_episode,user_attrs_run_4_training_time_total,user_attrs_run_5_collective_reward,user_attrs_run_5_individual_rewards,user_attrs_run_5_seed,user_attrs_run_5_total_individual_rewards,user_attrs_run_5_training_time_per_episode,user_attrs_run_5_training_time_total,user_attrs_total_individual_reward_agent0_mean,user_attrs_total_individual_reward_agent0_std,user_attrs_training_time_per_episode_mean,user_attrs_training_time_per_episode_std,user_attrs_training_time_total_mean,user_attrs_training_time_total_std,state
0,12.843333333333334,2025-06-13 16:25:03.195972,2025-06-13 16:25:06.152720,0 days 00:00:02.956748,31,0.5699406507212351,0.06465946142034329,0.9391313342876575,0.00035644561496062793,428,4703.0,12.843333333333334,1.201078219305008,0.7281666666666666,0.14728590865690064,420.0,6.0,13.2,"[0.72, 0.5999999999999999]",4703.0,"[7.199999999999999, 5.999999999999998]",0.0052159201531183155,2.1906864643096924,10.77,"[0.477, 0.6]",5703.0,"[4.77, 6.0]",0.005128595942542667,2.15401029586792,11.93,"[0.599, 0.594]",6703.0,"[5.99, 5.9399999999999995]",0.00499668802533831,2.09860897064209,13.239999999999998,"[0.8579999999999999, 0.466]",7703.0,"[8.579999999999998, 4.66]",0.004720346132914225,1.9825453758239746,13.35,"[0.86, 0.475]",8703.0,"[8.6, 4.75]",0.005076953910645984,2.1323206424713135,14.57,"[0.8549999999999999, 0.6020000000000001]",9703.0,"[8.549999999999999, 6.020000000000001]",0.004400825500488282,1.8483467102050781,7.281666666666666,1.4728590865690065,0.004923221610841297,0.00028016011567532197,2.0677530765533447,0.11766724858363521,COMPLETE
1,13.671666666666667,2025-06-13 16:25:06.629031,2025-06-13 16:25:08.556930,0 days 00:00:01.927899,22,0.8235562754485268,0.1978093875641955,0.9463523835099201,0.01618515949696136,110,14706.0,13.671666666666667,2.919083284564217,0.6636666666666667,0.17802871179172816,110.0,6.0,10.120000000000001,"[0.51, 0.502]",14706.0,"[5.1, 5.02]",0.010229173573580655,1.125209093093872,10.159999999999998,"[0.386, 0.6300000000000001]",15706.0,"[3.8600000000000003, 6.300000000000001]",0.010739001360806551,1.1812901496887207,13.549999999999999,"[0.6140000000000001, 0.7410000000000001]",16706.0,"[6.140000000000001, 7.410000000000001]",0.010372415455904874,1.1409657001495361,14.809999999999999,"[0.861, 0.62]",17706.0,"[8.61, 6.2]",0.010607515681873668,1.1668267250061035,14.879999999999999,"[0.743, 0.7449999999999999]",18706.0,"[7.43, 7.449999999999999]",0.010050363974137739,1.1055400371551514,18.509999999999998,"[0.868, 0.9829999999999999]",19706.0,"[8.68, 9.829999999999998]",0.010057020187377929,1.1062722206115723,6.636666666666667,1.7802871179172817,0.01034258170561357,0.0002607765950495662,1.1376839876174927,0.02868542545545227,COMPLETE
2,11.233333333333334,2025-06-13 16:25:08.619742,2025-06-13 16:25:10.656204,0 days 00:00:02.036462,21,0.729597085407613,0.02888586730357056,0.9506569699671565,0.001330193662725435,130,24708.0,11.233333333333334,3.16821015015664,0.5705000000000001,0.20120449796165096,130.0,6.0,15.03,"[0.63, 0.8730000000000002]",24708.0,"[6.3, 8.730000000000002]",0.008051228523254395,1.0466597080230713,7.859999999999999,"[0.631, 0.15499999999999997]",25708.0,"[6.3100000000000005, 1.5499999999999998]",0.00875231669499324,1.137801170349121,10.32,"[0.516, 0.516]",26708.0,"[5.16, 5.16]",0.008313406430757963,1.0807428359985352,13.71,"[0.7419999999999999, 0.6289999999999999]",27708.0,"[7.419999999999999, 6.289999999999999]",0.008139269168560321,1.0581049919128418,13.810000000000002,"[0.748, 0.6329999999999999]",28708.0,"[7.48, 6.329999999999999]",0.008559980759253868,1.112797498703003,6.669999999999998,"[0.15599999999999994, 0.5109999999999999]",29708.0,"[1.5599999999999994, 5.109999999999999]",0.008437241040743315,1.0968413352966309,5.705000000000001,2.0120449796165096,0.008375573769593851,0.00023966939149431608,1.0888245900472004,0.031157020894261093,COMPLETE
3,14.34666666666667,2025-06-13 16:25:10.719577,2025-06-13 16:25:13.449877,0 days 00:00:02.730300,41,0.6382795573069907,0.1789928039309081,0.9653380267386993,0.0037615813429560416,367,34710.0,14.34666666666667,2.796567340310062,0.7511666666666666,0.12848400246290928,360.0,6.0,16.88,"[0.8440000000000001, 0.844]",34710.0,"[8.440000000000001, 8.44]",0.004981662167443169,1.793398380279541,16.87,"[0.8399999999999999, 0.8470000000000001]",35710.0,"[8.399999999999999, 8.47]",0.004949199491076999,1.7817118167877197,9.959999999999999,"[0.569, 0.42699999999999994]",36710.0,"[5.6899999999999995, 4.27]",0.0052333235740661625,1.8839964866638184,16.810000000000002,"[0.8379999999999999, 0.843]",37710.0,"[8.379999999999999, 8.43]",0.0047134088145362,1.6968271732330322,11.379999999999999,"[0.57, 0.568]",38710.0,"[5.699999999999999, 5.68]",0.005153187778260973,1.8551476001739502,14.18,"[0.8459999999999999, 0.572]",39710.0,"[8.459999999999999, 5.72]",0.005016973283555773,1.8061103820800781,7.511666666666667,1.2848400246290932,0.0050079591848232125,0.00016475530423184644,1.8028653065363567,0.05931190952346463,COMPLETE
4,12.645000000000001,2025-06-13 16:25:13.571511,2025-06-13 16:25:15.683573,0 days 00:00:02.112062,13,0.9868970960759875,0.14810450023562038,0.9621647962761202,0.0032869494793883467,238,44713.0,12.645000000000001,1.5209399506007242,0.6325000000000001,0.11849156088093364,230.0,6.0,12.96,"[0.76, 0.5359999999999999]",44713.0,"[7.6, 5.359999999999999]",0.005543396783911664,1.2749812602996826,11.940000000000003,"[0.5440000000000002, 0.6500000000000001]",45713.0,"[5.440000000000001, 6.500000000000002]",0.005317776099495266,1.2230885028839111,13.02,"[0.647, 0.655]",46713.0,"[6.470000000000001, 6.550000000000001]",0.005635327878205673,1.2961254119873047,14.139999999999999,"[0.653, 0.761]",47713.0,"[6.53, 7.61]",0.005496443872866423,1.2641820907592773,14.120000000000001,"[0.764, 0.648]",48713.0,"[7.640000000000001, 6.48]",0.00566746359286101,1.3035166263580322,9.69,"[0.4269999999999999, 0.5419999999999999]",49713.0,"[4.269999999999999, 5.419999999999999]",0.005801338734834091,1.3343079090118408,6.325,1.1849156088093367,0.005576957827029021,0.00015095758600129516,1.2827003002166748,0.034720244780297886,COMPLETE
5,12.118333333333334,2025-06-13 16:25:15.743430,2025-06-13 16:25:17.684323,0 days 00:00:01.940893,16,0.7970059909643036,0.19539277964397406,0.9007394935493426,0.04492879246731091,196,54715.0,12.118333333333334,2.6490905147909833,0.5688333333333333,0.1705866511646077,190.0,6.0,15.120000000000001,"[0.6449999999999999, 0.8670000000000002]",54715.0,"[6.449999999999999, 8.670000000000002]",0.006409365252444618,1.2177793979644775,14.01,"[0.647, 0.7540000000000001]",55715.0,"[6.470000000000001, 7.540000000000001]",0.006544736811989232,1.243499994277954,10.629999999999999,"[0.42000000000000004, 0.643]",56715.0,"[4.2, 6.43]",0.006692764633580258,1.271625280380249,14.049999999999999,"[0.873, 0.532]",57715.0,"[8.73, 5.32]",0.0065085348330046,1.236621618270874,7.29,"[0.41999999999999993, 0.30900000000000005]",58715.0,"[4.199999999999999, 3.0900000000000007]",0.006691236245004754,1.2713348865509033,11.61,"[0.40800000000000003, 0.753]",59715.0,"[4.08, 7.53]",0.00652374970285516,1.2395124435424805,5.6883333333333335,1.7058665116460772,0.006561731246479769,0.00010142152646478698,1.2467289368311565,0.019270090028309518,COMPLETE
6,14.545,2025-06-13 16:25:18.073170,2025-06-13 16:25:20.655235,0 days 00:00:02.582065,16,0.8880760062065243,0.019947230958274234,0.9155285158835356,0.0437672681405616,398,64718.0,14.545,2.419474805269385,0.7916666666666665,0.10604977866811198,390.0,6.0,18.419999999999998,"[0.9759999999999998, 0.866]",64718.0,"[9.759999999999998, 8.66]",0.004068989020127516,1.5869057178497314,14.09,"[0.759, 0.6499999999999999]",65718.0,"[7.59, 6.499999999999999]",0.004196954996157915,1.636812448501587,11.719999999999999,"[0.7529999999999999, 0.41899999999999993]",66718.0,"[7.529999999999999, 4.1899999999999995]",0.004368334550123948,1.7036504745483398,11.620000000000001,"[0.638, 0.5239999999999999]",67718.0,"[6.38, 5.239999999999999]",0.0043798177670209834,1.7081289291381836,15.14,"[0.7550000000000001, 0.7589999999999999]",68718.0,"[7.550000000000001, 7.589999999999999]",0.004469730915167393,1.7431950569152832,16.279999999999998,"[0.869, 0.759]",69718.0,"[8.69, 7.59]",0.004072657609597231,1.58833646774292,7.916666666666665,1.06049778668112,0.004259414143032498,0.00015579618503791282,1.661171515782674,0.06076051216478598,COMPLETE
7,15.721666666666666,2025-06-13 16:25:20.721027,2025-06-13 16:25:23.680487,0 days 00:00:02.959460,34,0.7600599840096778,0.1251641378396001,0.9435164291257532,0.0014475175168271474,445,74720.0,15.721666666666666,1.7927949935474745,0.6998333333333332,0.08880205828445396,440.0,6.0,18.25,"[0.849, 0.976]",74720.0,"[8.49, 9.76]",0.004667516188188033,2.0537071228027344,13.15,"[0.5959999999999999, 0.7190000000000001]",75720.0,"[5.959999999999999, 7.190000000000001]",0.004582277211275967,2.016201972961426,14.5,"[0.727, 0.7230000000000001]",76720.0,"[7.27, 7.23]",0.004076480323618108,1.7936513423919678,14.46,"[0.587, 0.859]",77720.0,"[5.869999999999999, 8.59]",0.004714982617985118,2.074592351913452,17.020000000000003,"[0.72, 0.982]",78720.0,"[7.199999999999999, 9.82]",0.0044346543875607575,1.9512479305267334,16.95,"[0.72, 0.975]",79720.0,"[7.199999999999999, 9.75]",0.004601838913830844,2.0248091220855713,6.998333333333332,0.8880205828445397,0.004512958273743138,0.00021371763591385766,1.9857016404469807,0.09403575980209733,COMPLETE
8,7.898333333333333,2025-06-13 16:25:23.742203,2025-06-13 16:25:25.652860,0 days 00:00:01.910657,15,0.5991284320270807,0.10444580001973866,0.917211478199725,0.0005909810469842129,106,84723.0,7.898333333333333,3.7013754950768707,0.36633333333333334,0.19982130906276127,100.0,6.0,3.9200000000000004,"[0.199, 0.19299999999999995]",84723.0,"[1.9900000000000002, 1.9299999999999995]",0.009987952709197999,0.9987952709197998,7.44,"[0.201, 0.5429999999999999]",85723.0,"[2.0100000000000002, 5.43]",0.00967271089553833,0.967271089553833,5.13,"[0.20099999999999998, 0.31199999999999994]",86723.0,"[2.01, 3.119999999999999]",0.009820709228515625,0.9820709228515625,5.0600000000000005,"[0.31, 0.196]",87723.0,"[3.1, 1.96]",0.009761927127838134,0.9761927127838135,12.989999999999997,"[0.6500000000000001, 0.649]",88723.0,"[6.500000000000002, 6.49]",0.009371495246887207,0.9371495246887207,12.850000000000001,"[0.6369999999999999, 0.648]",89723.0,"[6.369999999999999, 6.48]",0.009274842739105225,0.9274842739105225,3.6633333333333336,1.9982130906276128,0.00964827299118042,0.00024989568277870947,0.964827299118042,0.024989568277870952,COMPLETE
9,14.27833333333333,2025-06-13 16:25:25.786604,2025-06-13 16:25:29.111557,0 days 00:00:03.324953,49,0.9199572559928607,0.09086105856388661,0.926955555765594,0.024495147815286708,317,94725.0,14.27833333333333,2.6280754470820584,0.6881666666666666,0.1684036981647243,310.0,6.0,13.779999999999998,"[0.836, 0.5419999999999999]",94725.0,"[8.36, 5.419999999999999]",0.006629350877577259,2.05509877204895,16.71,"[0.683, 0.9880000000000001]",95725.0,"[6.83, 9.88]",0.006430214451205346,1.9933664798736572,16.7,"[0.8310000000000001, 0.8390000000000001]",96725.0,"[8.31, 8.39]",0.005399986236326156,1.6739957332611084,10.819999999999997,"[0.5339999999999999, 0.5479999999999999]",97725.0,"[5.339999999999999, 5.4799999999999995]",0.006937434596400107,2.150604724884033,16.75,"[0.841, 0.834]",98725.0,"[8.41, 8.34]",0.0062565311308830016,1.9395246505737305,10.909999999999998,"[0.4039999999999999, 0.6869999999999999]",99725.0,"[4.039999999999999, 6.869999999999999]",0.00790718832323628,2.451228380203247,6.881666666666667,1.6840369816472431,0.006593450935938025,0.0007538831232874326,2.0439697901407876,0.23370376821910413,COMPLETE
