number,value,params_episodes_per_epoch,params_epsilon_end,params_epsilon_start,params_gamma,params_learning_rate,params_map_size,params_max_steps_per_episode,params_num_epochs,params_obstacle_density,params_solution_concept,user_attrs_algorithm_name_fixed,user_attrs_status_detail,user_attrs_traceback,state,duration
0,,15,0.05000410504570673,0.8191748472202796,0.9913188280389226,0.008728288093655967,6,82,141,0.20369997027756775,Pareto,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,0 days 00:00:00.388956
1,,17,0.11372954016413156,0.8495106332914217,0.9224100664088064,0.007836114069963006,6,73,95,0.17761886192688972,Nash,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,0 days 00:00:00.303704
2,,30,0.10505529635723077,0.7927037245503016,0.9593517832340583,0.005695791394242542,7,81,129,0.0731117685359788,Welfare,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,0 days 00:00:00.381785
3,,10,0.12392435672393332,0.7502981626588433,0.9150587381027024,0.0320008583804649,8,85,32,0.08082681109681311,Pareto,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,0 days 00:00:00.367543
4,,14,0.08483247981416488,0.8143058155416063,0.9550145156158336,0.025741860472132193,9,80,88,0.09984673662205788,Welfare,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,0 days 00:00:00.391180
5,,16,0.09048183805210884,0.8928126288098306,0.9062903713372025,0.002024556022922777,10,64,103,0.08390646717581655,Pareto,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,0 days 00:00:00.383472
6,,28,0.1452718468902926,0.8364211656095739,0.9222050191862415,0.07043324316310187,6,142,114,0.10150235756344261,Nash,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,0 days 00:00:00.368570
7,,15,0.045120350115331186,0.9002890557463913,0.9880382575085671,0.0001716621895448969,9,62,89,0.1622587253805328,Nash,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,0 days 00:00:00.373034
8,,18,0.1034000337511982,0.7943368795994008,0.9893978291931859,0.0046455514806987355,6,61,97,0.2763650798092115,Nash,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,0 days 00:00:00.351207
9,,12,0.10019438468580957,0.9432800554990751,0.9632885614007898,0.0002541237911854135,8,61,111,0.13595822583548078,Pareto,JALGT,Generic error: TypeError - Type Dict cannot be instantiated; use dict() instead,"Traceback (most recent call last):
  File ""/mnt/d/info/SID/prac3/src/trial.py"", line 160, in objective
    experience = ExperienceBatch({
  File ""/home/marcel/miniconda3/envs/sid/lib/python3.9/typing.py"", line 685, in __call__
    raise TypeError(f""Type {self._name} cannot be instantiated; ""
TypeError: Type Dict cannot be instantiated; use dict() instead
",PRUNED,-1 days +23:56:27.474817
