trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
0,1.8899999999999995,5,16.110059,COMPLETE,3.465694785324615e-06,0.9759255118741589,256,0.6756241155904019,19
1,5.649999999999997,12,100.224889,COMPLETE,0.0001748366085873918,0.818430563988868,256,0.11517581421639014,51
2,10.91,15,59.023413,COMPLETE,3.8114227857057563e-06,0.801159265948596,128,0.3104830358450101,37
3,4.31,9,38.873896,COMPLETE,6.603464827181444e-05,0.8552119589193055,256,0.4240417215756198,31
4,5.539999999999999,11,65.577773,COMPLETE,0.09616176567039061,0.8092146316543765,64,0.334031708751444,41
5,4.649999999999999,8,20.128626,COMPLETE,2.265126125398619e-06,0.8667476513575858,64,0.8901592018453574,22
6,2.2799999999999963,11,161.873555,COMPLETE,6.58600955214344e-05,0.9596225931731697,64,0.9008126392274849,68
7,9.279999999999998,14,75.260731,COMPLETE,4.3927238222514685e-06,0.9700020362292092,256,0.5895789523660926,43
8,5.499999999999999,9,32.051992,COMPLETE,0.021911951142720803,0.9888461946510101,128,0.5479465681167456,26
9,5.969999999999998,12,111.360934,COMPLETE,1.4676138332905673e-06,0.8454817471826142,64,0.4601386244203407,51
10,1.7799999999999998,3,3.58374,COMPLETE,0.0022388937563445877,0.9137194443945224,128,0.02702190964964113,8
11,7.429999999999996,13,92.106684,COMPLETE,1.2886268536403092e-05,0.9038965284067914,128,0.24204664155190114,45
12,7.3299999999999965,14,142.570679,COMPLETE,1.0996576879367432e-05,0.935817248188819,256,0.6956221257131179,60
13,-0.8300000000000021,5,56.265753,COMPLETE,0.0007222726813409086,0.9527616351367728,128,0.6190731470588635,35
14,7.869999999999997,13,99.406839,COMPLETE,1.3963424756642704e-05,0.8860588072859905,256,0.19859796378838096,49
15,8.249999999999998,13,63.393954,COMPLETE,3.611442541250292e-05,0.9282029689814423,128,0.7723828249207851,38
16,3.77,6,9.855942,COMPLETE,1.0706187274954866e-06,0.9963777281714795,128,0.34389424577816674,14
17,6.409999999999998,13,130.103681,COMPLETE,0.0024154444435520632,0.8372451611257353,256,0.5309780166690483,57
18,4.3199999999999985,9,52.704108,COMPLETE,4.58152853829398e-06,0.8828534831351255,256,0.34659661813843823,32
19,8.109999999999998,14,82.690602,COMPLETE,0.0003180456100414759,0.802586153002634,128,0.760406687315957,44
20,6.279999999999999,10,34.761111,COMPLETE,6.913375274379667e-06,0.9556253028788121,256,0.2543748684761255,27
21,8.409999999999998,13,67.668903,COMPLETE,5.054430545375895e-05,0.9283093206143394,128,0.7801302577705663,38
22,7.3199999999999985,12,68.421494,COMPLETE,4.388275311397328e-05,0.9298801002097798,128,0.9776816213125938,39
23,4.939999999999998,12,143.308674,COMPLETE,2.2369871148996885e-05,0.9726276181699653,128,0.5965975051168357,59
24,5.639999999999998,10,51.79151,COMPLETE,0.0001513609969048064,0.9161253468743146,128,0.8091725679280727,33
25,4.319999999999998,10,92.081964,COMPLETE,4.473183267711846e-06,0.9488728029081382,128,0.46876891092897305,45
26,1.819999999999999,6,36.144904,COMPLETE,2.13638636034127e-06,0.9768099118728566,128,0.6961468683915308,27
27,5.569999999999996,11,74.85658,COMPLETE,2.2814031758319575e-05,0.8857968817180922,128,0.38729335464050396,41
28,9.189999999999998,14,121.003415,COMPLETE,6.011275985158709e-06,0.8258502402044108,256,0.6159192354605048,53
29,4.559999999999997,12,158.525959,COMPLETE,6.231901485840085e-06,0.831227521104151,256,0.6113835794791367,66
30,2.189999999999997,10,115.872517,COMPLETE,2.4663522465570216e-06,0.8190631558498012,256,0.5348233675606581,57
31,9.339999999999998,14,88.195646,COMPLETE,9.272395384116776e-06,0.8629335451649937,256,0.6665162996867474,49
32,7.879999999999997,14,98.478367,COMPLETE,1.083456818801506e-06,0.8194220343770627,256,0.672975364840704,52
33,2.429999999999997,9,84.378141,COMPLETE,8.89312853370654e-06,0.8617845063614009,256,0.4945601523301662,48
34,8.249999999999996,14,98.959008,COMPLETE,3.4933853145831163e-06,0.8274631073952793,256,0.6419805871683242,53
35,12.4,16,73.244409,COMPLETE,2.3093683001540206e-05,0.8497845633927085,256,0.5690838529742358,43
36,7.039999999999998,13,76.492623,COMPLETE,0.00015249902371629667,0.870419725606513,256,0.41411718556506794,45
37,2.699999999999998,8,48.155995,COMPLETE,2.832812521961808e-05,0.8504880776619391,64,0.137911879580784,35
38,3.9899999999999967,12,132.659278,COMPLETE,1.715576862666487e-05,0.8723392315798946,256,0.5502430434703983,63
39,4.119999999999997,10,67.515072,COMPLETE,7.503767594066215e-05,0.8422058198367096,64,0.41788765324605426,42
40,0.339999999999999,4,20.658663,COMPLETE,1.739564187125093e-06,0.8556924203111481,256,0.7311402621003884,22
41,1.6499999999999968,9,100.608893,COMPLETE,3.5059314235329103e-06,0.8096565864809168,256,0.5772021510383557,54
42,11.299999999999999,16,91.731492,COMPLETE,7.532536292206136e-06,0.800497776532729,256,0.4967608953602868,50
43,1.789999999999997,9,85.45329,COMPLETE,8.625567526133367e-06,0.803057933693751,256,0.2704443499072679,48
44,2.499999999999997,9,86.710997,COMPLETE,8.37507418695328e-05,0.8112068782099366,256,0.8490457232106159,49
