trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
0,-5.860000000000006,4,120.556924,COMPLETE,0.03829295086666038,0.8580767993812086,128,0.7076392381954484,61
1,1.45,4,10.958154,COMPLETE,0.031304048536937294,0.8113158345477566,64,0.21854332947801203,16
2,-2.940000000000002,3,49.379825,COMPLETE,0.0974554514296823,0.894325502068153,128,0.15892018287682436,35
3,0.2699999999999987,5,37.939099,COMPLETE,0.06525908596979109,0.9709440536580146,64,0.4707443731202597,30
4,4.119999999999997,9,68.912509,COMPLETE,0.00029254742461116886,0.9588434492681964,64,0.7931880703789628,43
5,6.479999999999999,10,37.907099,COMPLETE,0.012345810695390057,0.8096775602078464,128,0.7980232512350436,30
6,2.0299999999999967,10,134.01016,COMPLETE,0.06466955431046258,0.9726466860224725,128,0.4256550247618932,62
7,7.76,9,3.880255,COMPLETE,0.0058326234404279306,0.9786856923586253,64,0.004816021902114774,9
8,3.9999999999999987,9,40.187696,COMPLETE,0.0666935838066335,0.990110734932093,256,0.2901280869498434,31
9,-1.3500000000000028,5,64.088959,COMPLETE,4.0164335685716234e-05,0.8321490184588993,64,0.8247564402125722,42
10,0.31000000000000016,2,4.410209,COMPLETE,1.7556368832210138e-06,0.9284023576831898,256,0.0061876232434485146,10
11,3.1599999999999997,6,15.195609,COMPLETE,0.0027051300986111744,0.885026852825957,128,0.9667591944948649,19
12,0.23999999999999988,1,1.120445,COMPLETE,0.0030223592478937937,0.934189302966977,64,0.6115392906568821,5
13,-7.230000000000005,2,93.545248,COMPLETE,0.003771977954675394,0.8623564640990281,128,0.982516523034316,50
14,7.259999999999999,10,21.109969,COMPLETE,0.0004958172098375445,0.9242389550960782,256,0.009423498625471784,23
15,3.779999999999999,7,18.537236,COMPLETE,0.000276505592990091,0.9308204075039311,256,0.003891837065714417,22
16,5.319999999999999,7,6.302601,COMPLETE,5.094434813998588e-05,0.994352633526598,256,0.142044102423807,12
17,3.8099999999999987,7,22.83075,COMPLETE,5.8834497976105656e-05,0.9498475789188863,256,0.3491950517782664,24
18,3.829999999999999,5,2.885799,COMPLETE,0.0006796278646166811,0.9131149388570061,256,0.09526368196754652,8
19,7.13,9,9.959758,COMPLETE,0.0009857322263077098,0.9158367561202022,64,0.27788704286453286,15
20,-1.0300000000000016,3,24.422907,COMPLETE,6.208464724841352e-06,0.8728246836025167,256,0.08627079299644544,24
21,2.8400000000000003,5,9.984245,COMPLETE,0.0010087057242216134,0.9106693547301559,64,0.26131773802991815,15
22,2.2399999999999998,3,1.198546,COMPLETE,0.009173705467262218,0.9507831451201416,64,0.3561420806449926,5
23,3.64,6,12.565917,COMPLETE,0.0010384354570257682,0.9116399986614236,64,0.19512314916095014,17
24,6.27,8,7.350606,COMPLETE,0.00012710717659356166,0.9761690075011183,64,0.06455951390467381,13
25,7.01,10,26.658097,COMPLETE,0.011314236201158866,0.9375021193032931,64,0.5632890221439633,25
26,6.63,9,16.959115,COMPLETE,0.000600639331065147,0.8949578509068589,64,0.0039901791457092675,20
27,1.3900000000000001,3,4.503794,COMPLETE,0.0015293499958534476,0.9178096893066655,256,0.3252799646168495,10
28,12.489999999999998,16,137.155202,COMPLETE,2.0882708076732353e-05,0.8786960220717964,64,0.12127698348921462,69
29,10.409999999999997,15,114.868738,COMPLETE,1.4359893375087453e-05,0.8423126793590465,256,0.08880159470402249,70
30,3.7899999999999965,11,155.295798,COMPLETE,1.1428683675745526e-05,0.8452737617529629,64,0.1275852765813968,70
31,14.07,17,115.666602,COMPLETE,1.623988786904179e-05,0.831301101152761,256,0.07873446054342573,70
32,9.139999999999999,14,130.66504,COMPLETE,1.0378634342931078e-05,0.822837776717935,256,0.2062464914493624,69
33,13.909999999999998,17,127.929048,COMPLETE,1.1995683363394002e-05,0.8220018887560563,256,0.19612540775782072,69
34,1.5499999999999965,9,133.465069,COMPLETE,2.3807699491374005e-06,0.8452918226968231,256,0.16870167690925286,63
35,14.76,17,82.243287,COMPLETE,2.765113178467012e-05,0.8256875830972017,256,0.23312515127354413,56
36,5.769999999999997,11,97.575965,COMPLETE,4.060692487126222e-06,0.8047221678002497,256,0.40932801465535185,53
37,11.609999999999998,15,85.191235,COMPLETE,2.650111575437677e-05,0.8160217198778125,256,0.24443147773864837,56
38,-0.3800000000000048,8,149.154186,COMPLETE,1.0397841794521348e-06,0.8282631525510707,256,0.21453138158887067,65
39,11.669999999999998,15,93.47296,COMPLETE,0.0001374796782784066,0.8582559370037997,128,0.5013000710073487,59
40,12.57,16,101.265257,COMPLETE,1.7327704949856433e-05,0.8705743646293158,256,0.15093183236469698,66
41,8.009999999999998,13,101.161745,COMPLETE,2.19512917670687e-05,0.8705403871241734,256,0.14876665640871728,66
42,3.199999999999997,10,122.907101,COMPLETE,5.428508535211493e-06,0.8357147486192932,256,0.06238511610997746,58
43,12.959999999999997,16,94.037066,COMPLETE,7.978284688843109e-05,0.8825754802665048,256,0.18422997984579031,65
44,14.41,17,96.675783,COMPLETE,8.745286863985556e-05,0.817220352574579,256,0.29654701052715826,65
45,8.169999999999998,12,57.4844,COMPLETE,9.70074861949726e-05,0.8182315475108135,256,0.3015091888054431,46
46,13.179999999999996,16,82.950338,COMPLETE,0.000243297925313524,0.8043916173825375,256,0.23404806140187287,61
47,14.68,17,90.667648,COMPLETE,0.0002827184027497652,0.8025667095608009,256,0.409679829394484,61
48,10.399999999999999,14,84.899353,COMPLETE,3.425396965855639e-05,0.8122406795300576,256,0.40337159781348,54
49,14.889999999999999,17,74.94179,COMPLETE,0.00018770746520031334,0.8003123001583109,128,0.4589754426777661,50
50,6.959999999999998,11,56.82735,COMPLETE,0.00033103547435356915,0.8011007229821391,128,0.4662051541857113,41
51,16.34,18,68.531552,COMPLETE,0.00018637496119241147,0.8222905261221377,128,0.5465377058803313,48
52,11.879999999999999,15,74.432328,COMPLETE,0.00016784604534722403,0.8304995222565194,128,0.6544479915479359,50
53,7.669999999999998,12,73.557691,COMPLETE,5.3657091143292076e-05,0.8101545860616824,128,0.521135590062621,49
54,15.07,17,63.567176,COMPLETE,0.000196494768510467,0.8390482605943951,128,0.5553861980807071,45
55,6.31,10,46.297873,COMPLETE,0.0003280020639461844,0.8519127053113873,128,0.7323061033757268,36
56,10.689999999999998,14,65.22158,COMPLETE,0.00019144570917924017,0.8007578843434248,128,0.5776061499223217,45
57,10.11,14,76.210678,COMPLETE,7.71703040797302e-05,0.8376797438669168,128,0.4578837614804421,53
58,3.929999999999998,9,61.903248,COMPLETE,0.00046428773740467863,0.8232838866951141,128,0.382014366587974,45
59,3.2299999999999978,8,51.186185,COMPLETE,0.00012400406536978002,0.818254698380891,128,0.6403779935449172,39
60,9.879999999999995,14,88.841827,COMPLETE,4.135032015558228e-05,0.8102804331676654,128,0.43863005923167897,56
61,10.509999999999998,14,65.644822,COMPLETE,7.898847444596301e-05,0.8316313049331808,128,0.5301294284674489,48
62,11.709999999999999,15,95.071945,COMPLETE,0.00021185303871043885,0.8496980585484143,128,0.5617830522998678,60
63,8.219999999999999,13,91.701063,COMPLETE,0.00041785780183883344,0.8242454915983233,128,0.3432746879864802,63
64,2.449999999999997,9,91.650944,COMPLETE,0.025731414601353305,0.8380700720209232,128,0.48716987336742057,51
65,16.21,18,88.899085,COMPLETE,2.9640340486879963e-05,0.8075496025523177,256,0.3804402804583389,57
66,8.239999999999997,14,113.500747,COMPLETE,0.0016985762472151867,0.8071432135222703,128,0.30904141459717127,56
67,8.579999999999998,13,70.145624,COMPLETE,3.945754705792814e-05,0.813774536717435,256,0.3762369932885756,52
68,8.089999999999998,12,66.871044,COMPLETE,0.0007279624673265472,0.816123471830555,256,0.4366179035932406,43
69,2.809999999999999,7,40.835964,COMPLETE,2.8315671817102497e-05,0.8258825330572073,128,0.60203201169266,32
70,9.259999999999998,13,61.72705,COMPLETE,0.0001065203787245637,0.8004051472545357,256,0.2739821014074243,47
71,11.579999999999998,15,86.895889,COMPLETE,5.490542165109469e-05,0.8076687629264802,256,0.529698190735625,57
72,6.109999999999997,12,122.274397,COMPLETE,6.971395624962842e-06,0.8215206386373286,256,0.38076069916942,63
73,6.419999999999997,12,137.223046,COMPLETE,0.00015493898644252838,0.8326939696990167,256,0.925781884052774,67
74,4.119999999999997,10,100.855134,COMPLETE,8.121723269758552e-06,0.8413658573037055,256,0.6832213444729623,55
75,9.899999999999997,14,95.596613,COMPLETE,0.0002718165324090543,0.8285629584032598,256,0.42035693948642994,61
76,14.669999999999998,17,85.385598,COMPLETE,7.074593767329182e-05,0.8129981435954728,256,0.3266022623085227,60
77,8.549999999999997,13,84.849704,COMPLETE,6.515166897216426e-05,0.8140075471533942,256,0.3347437805234364,59
78,7.189999999999998,12,80.119154,COMPLETE,9.513069332044243e-05,0.8064048790404038,128,0.25675159809105486,58
79,11.25,14,55.692948,COMPLETE,0.00038869628279756575,0.8190653634515384,256,0.4926617288286334,40
80,6.239999999999998,11,71.513654,COMPLETE,0.0002072437861563682,0.8109890459890161,256,0.30991869512224357,51
81,12.359999999999998,16,105.303243,COMPLETE,1.6112729571283416e-05,0.8273343524569471,256,0.3607374522428207,67
82,5.029999999999998,11,93.210441,COMPLETE,2.938244460385849e-05,0.8045219637147725,256,0.28422131592965505,64
83,8.329999999999998,13,107.915215,COMPLETE,2.1181397041418636e-05,0.8341646986191851,256,0.46601190264620973,61
84,10.97,14,69.43071,COMPLETE,4.23837486724208e-05,0.817111752627095,256,0.4025644854123535,43
85,8.5,13,117.985721,COMPLETE,0.0006078360979733107,0.8003667900589309,256,0.036957761504834485,54
86,4.759999999999996,11,135.089779,COMPLETE,0.00014370358205536906,0.8478219587823616,256,0.5495421544373813,68
87,-1.2300000000000035,6,100.854056,COMPLETE,4.13837369915353e-06,0.9012154181691188,128,0.5957309213196161,49
88,14.66,17,104.696751,COMPLETE,5.899223353288114e-05,0.8122880199782554,256,0.44399436872868764,59
89,8.509999999999998,13,95.355338,COMPLETE,5.8650931212684744e-05,0.8110122583811555,256,0.447331786252023,58
90,14.7,17,94.120815,COMPLETE,0.000123376484565784,0.821187581124071,128,0.39670945291629667,60
91,8.319999999999997,13,113.860197,COMPLETE,0.00010727188742255975,0.8235731521822496,128,0.507234829012613,62
92,4.459999999999997,10,97.932521,COMPLETE,7.021477573620502e-05,0.8200012594648192,128,0.40121744831137535,54
93,13.069999999999997,16,94.149197,COMPLETE,0.00025230053759892236,0.8049518545222293,128,0.32250681302921524,57
94,10.079999999999998,14,92.758709,COMPLETE,0.00017751184564674492,0.812217060033925,128,0.3657837472155837,60
95,5.899999999999999,11,88.029846,COMPLETE,4.756683931823539e-05,0.8147699257774683,64,0.2326046838133373,52
96,14.589999999999996,17,107.611485,COMPLETE,9.744010020211042e-05,0.808528090717801,128,0.4752300035036762,64
97,9.979999999999997,14,95.976673,COMPLETE,0.00035400723928820426,0.8406947780876626,128,0.47273769030938634,60
98,6.809999999999998,12,98.828155,COMPLETE,0.00012090743877501347,0.8085106328253755,128,0.4253955853831499,62
99,2.849999999999997,9,109.563489,COMPLETE,0.0008658903243134455,0.8034202355196168,128,0.632057555101785,55
