trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
0,-5.570000000000005,3,99.066458,COMPLETE,0.03611271342541329,0.8812051442508885,256,0.7334452056253581,49
1,3.5999999999999983,9,81.309432,COMPLETE,0.029175430830105705,0.8340062742955666,128,0.8784330199556982,43
2,6.789999999999998,12,88.155291,COMPLETE,0.001245762412943493,0.9209526642846864,256,0.6997879320307258,46
3,-0.8400000000000036,7,135.479436,COMPLETE,1.0068271073717488e-06,0.9516791331060622,128,0.010709566063621737,57
4,3.670000000000001,5,4.265842,COMPLETE,3.046987668612766e-05,0.8746783399231854,128,0.25909844982748975,9
5,13.049999999999999,16,54.530354,COMPLETE,3.96016300982331e-05,0.927548143064556,256,0.9058282439145849,34
6,-2.2700000000000053,7,194.689563,COMPLETE,1.7095250203975268e-06,0.8600075722348994,64,0.23660654157742197,68
7,11.619999999999997,15,88.194132,COMPLETE,0.00010951445291027159,0.9337729039392059,128,0.32657270109153647,47
8,0.6699999999999985,6,56.459658,COMPLETE,0.026523778329778838,0.8414069437303345,256,0.5726493489589806,33
9,8.379999999999999,11,21.962281,COMPLETE,0.0001997238531813433,0.9758523181840979,64,0.08749958300178468,21
10,8.35,11,36.527369,COMPLETE,1.2360612889962662e-05,0.9854053213999261,256,0.8467870400666192,27
11,11.269999999999998,15,116.318948,COMPLETE,0.00041514525277971004,0.9243203151317192,128,0.43413916396854557,58
12,12.269999999999998,15,58.225493,COMPLETE,8.841889616476609e-05,0.9181459769995421,256,0.9874156967596593,35
13,1.2399999999999998,4,15.00956,COMPLETE,0.002271995965500106,0.9051340473336859,256,0.9963254494931302,17
14,8.459999999999997,12,51.053517,COMPLETE,1.4534159291021329e-05,0.9548329231384676,256,0.9748790450879854,33
15,13.419999999999996,16,58.561996,COMPLETE,6.137623726557838e-05,0.9064918771119724,256,0.707736693154827,37
16,3.709999999999999,7,29.494701,COMPLETE,5.4838286573215345e-06,0.809161243409112,64,0.6274111050565929,24
17,2.289999999999999,3,1.364098,COMPLETE,0.001039144968711373,0.8924166869238341,256,0.814252740923296,5
18,16.15,18,61.016127,COMPLETE,3.290479569601038e-05,0.9523255935322039,256,0.47467564454875383,38
19,6.469999999999998,11,85.878282,COMPLETE,0.003937280505638774,0.998522567841694,256,0.43793610077225387,41
20,0.7699999999999968,8,124.767219,COMPLETE,5.313241084616746e-06,0.9547822161068126,64,0.5384265239921695,53
21,10.97,14,41.768799,COMPLETE,4.426841907742966e-05,0.935438868186423,256,0.7187284033598068,29
22,17.63,19,65.482113,COMPLETE,3.94956255834716e-05,0.9016337817452009,256,0.6231619874415679,39
23,15.989999999999998,18,67.528521,COMPLETE,0.00056320590342294,0.9014286706395567,256,0.46201658459282735,39
24,10.54,14,63.56707,COMPLETE,0.00047862863268683645,0.8544765014055247,256,0.4363211151870052,39
25,2.819999999999997,10,132.791603,COMPLETE,0.006500611763386405,0.8872029088371124,256,0.34437306170345416,53
26,6.749999999999999,9,19.300834,COMPLETE,0.000177486876954017,0.9697101267227146,256,0.6087141366872943,19
27,14.459999999999999,17,78.948506,COMPLETE,1.4646020902543219e-05,0.8728505373752081,256,0.4907909047879199,43
28,5.479999999999997,12,158.5136,COMPLETE,0.0006924433734959389,0.9444711420879107,256,0.33943409299163174,66
29,8.94,12,40.954855,COMPLETE,0.00024284998523116608,0.905565467236881,64,0.48218755269049673,29
