trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
0,-7.560000000000006,3,129.411976,COMPLETE,0.001170933499513282,0.8127625961262068,256,0.5573446189932398,63
1,2.2099999999999995,5,10.781693,COMPLETE,8.078511204563173e-05,0.8329831961622807,64,0.47300724010590206,19
2,0.8299999999999996,2,1.692506,COMPLETE,5.737870141144287e-06,0.8162988645516998,64,0.7365460351640298,7
3,0.5399999999999999,2,2.824903,COMPLETE,0.0021559042604831816,0.9602503418435124,64,0.44275653825012806,9
4,-6.110000000000004,2,68.498217,COMPLETE,4.555417831123642e-06,0.9841467939994426,128,0.684266456039358,46
5,1.8299999999999992,5,19.29191,COMPLETE,3.4387383943950026e-05,0.8706235035870955,128,0.39493414841499475,22
6,-6.910000000000004,3,137.854768,COMPLETE,0.000480454058458605,0.9739786456952639,128,0.20525746810161716,59
7,3.24,5,6.310962,COMPLETE,0.0001332858250379301,0.9225297988032749,64,0.3721803019902798,12
8,1.619999999999999,5,22.402928,COMPLETE,0.0006498006153507891,0.9483163928260202,256,0.30974498274676526,23
9,2.679999999999997,9,105.754036,COMPLETE,5.289635942269616e-05,0.9777370929610816,128,0.10854167082001179,57
10,-2.980000000000002,3,51.587491,COMPLETE,0.06992459184672155,0.9128867771698698,64,0.8604221529807645,36
11,1.9899999999999967,8,81.203627,COMPLETE,6.681129334079368e-05,0.9205794503702619,128,0.02214230137010792,50
12,-2.860000000000002,3,51.975402,COMPLETE,0.008973304200301286,0.8807565637556376,64,0.08925587817869432,35
13,-7.080000000000005,4,157.126362,COMPLETE,2.2511874773401494e-05,0.9393186768423625,128,0.21344819393946443,70
14,-6.110000000000004,2,87.483386,COMPLETE,1.5090976970804439e-06,0.8852906194307821,256,0.1763014268780708,46
15,-0.4900000000000011,4,34.513781,COMPLETE,0.0001953916096743811,0.9987668751627212,64,0.3225741354516257,29
16,-1.4799999999999998,1,8.522101,COMPLETE,1.1232169905581034e-05,0.9317584501766036,128,0.9805158601584015,14
17,5.679999999999997,11,100.02612,COMPLETE,0.00016527146806697652,0.856066622325849,64,0.5803242996275373,58
18,-3.240000000000001,2,36.007774,COMPLETE,0.007097470595581138,0.8455219478966762,64,0.6103796040854006,30
19,-2.5900000000000034,4,63.238502,COMPLETE,0.00016164411397508107,0.859538837561593,64,0.7709784355808061,42
20,-10.440000000000007,2,166.827067,COMPLETE,0.003281110601656086,0.8558228866944582,64,0.5734845994283434,70
21,1.2399999999999967,8,93.702066,COMPLETE,0.00017196516328845776,0.9005292749691219,64,0.35357736452579613,56
22,4.369999999999997,10,96.963867,COMPLETE,4.221601134532855e-05,0.8973126568955716,128,0.11480026550892225,55
23,6.209999999999997,11,82.719704,COMPLETE,2.5215332011215516e-05,0.8981579824974872,256,0.25580948664027425,52
24,3.239999999999997,9,81.682903,COMPLETE,1.5146484092282597e-05,0.8977664253401628,256,0.26311272957653886,52
25,-2.630000000000005,6,132.713128,COMPLETE,6.06607899297926e-06,0.8958001004990138,256,0.01957350368091862,62
26,-9.580000000000007,2,164.554925,COMPLETE,1.1647981673772188e-06,0.83008151019646,256,0.1203960415887301,65
27,1.9099999999999973,8,80.914145,COMPLETE,2.916157080404781e-05,0.8734485885983077,256,0.5306793637125702,51
28,-1.5200000000000036,6,92.205658,COMPLETE,0.0003170360874084142,0.9096204640408866,128,0.6627984908873301,54
29,-3.080000000000005,6,141.447793,COMPLETE,0.0010352048789359267,0.803585891029197,256,0.43604007493010777,65
30,-5.430000000000003,2,70.860163,COMPLETE,2.9559583240187353e-06,0.8574709458605567,256,0.2506636957195939,42
31,5.459999999999997,11,109.293476,COMPLETE,9.039594130203455e-05,0.9247578519902618,64,0.3845967380755887,60
32,6.929999999999998,12,108.064194,COMPLETE,7.783046825414728e-05,0.8870820141740603,64,0.4984935981860678,60
33,-2.6300000000000043,6,103.724711,COMPLETE,9.80821955925085e-05,0.8363760637938858,64,0.5026096958116962,62
34,-3.9300000000000046,5,131.499552,COMPLETE,1.2933479808267354e-05,0.8790672113435033,64,0.4677699545325054,60
