number,value,datetime_start,datetime_complete,duration,params_epsilon_min,params_gamma,params_learning_rate,state
0,12.82,2025-06-10 22:06:41.627465,2025-06-10 22:06:42.806970,0 days 00:00:01.179505,0.19259945714004983,0.9178271112885479,0.02075612275841122,COMPLETE
1,8.32,2025-06-10 22:06:42.828793,2025-06-10 22:06:43.497157,0 days 00:00:00.668364,0.12774398931376302,0.9327610147467729,0.00047576154010351573,COMPLETE
2,11.73,2025-06-10 22:06:43.514081,2025-06-10 22:06:44.167910,0 days 00:00:00.653829,0.03667169369995264,0.9923151009606199,0.008087431248170431,COMPLETE
3,8.36,2025-06-10 22:06:44.184541,2025-06-10 22:06:44.855775,0 days 00:00:00.671234,0.15395386817047146,0.9805397720231437,0.00013343079927015153,COMPLETE
4,10.63,2025-06-10 22:06:44.870817,2025-06-10 22:06:45.529922,0 days 00:00:00.659105,0.04542604713314605,0.9456342076666322,0.0006608356846920305,COMPLETE
5,11.74,2025-06-10 22:06:45.545914,2025-06-10 22:06:46.168756,0 days 00:00:00.622842,0.030928972877676472,0.9383096184136086,0.005679554679182858,COMPLETE
6,11.729999999999999,2025-06-10 22:06:46.186730,2025-06-10 22:06:46.852901,0 days 00:00:00.666171,0.03778775370822821,0.9429188570035478,0.034905037149311056,COMPLETE
7,11.69,2025-06-10 22:06:46.867873,2025-06-10 22:06:47.507127,0 days 00:00:00.639254,0.09254619189023533,0.9736550893539787,0.002216897556188684,COMPLETE
8,7.199999999999999,2025-06-10 22:06:47.522792,2025-06-10 22:06:48.235823,0 days 00:00:00.713031,0.1699310227956655,0.968500420948228,0.00032223326593536526,COMPLETE
9,10.600000000000001,2025-06-10 22:06:48.251607,2025-06-10 22:06:48.898333,0 days 00:00:00.646726,0.14128171863406003,0.929033966969198,0.002130280679689496,COMPLETE
10,11.709999999999999,2025-06-10 22:06:48.914091,2025-06-10 22:06:49.588639,0 days 00:00:00.674548,0.19639881501526196,0.9001863626587573,0.05903380204195175,COMPLETE
11,11.709999999999999,2025-06-10 22:06:49.604955,2025-06-10 22:06:50.246091,0 days 00:00:00.641136,0.08782321710453123,0.9142424828092681,0.011898800249399415,COMPLETE
12,13.920000000000002,2025-06-10 22:06:50.260754,2025-06-10 22:06:50.875160,0 days 00:00:00.614406,0.011105515258932497,0.9183140805408039,0.013220588155250767,COMPLETE
13,11.72,2025-06-10 22:06:50.890633,2025-06-10 22:06:51.520285,0 days 00:00:00.629652,0.07207995737233541,0.9159873083981652,0.021854355001908195,COMPLETE
14,11.69,2025-06-10 22:06:51.536974,2025-06-10 22:06:52.185351,0 days 00:00:00.648377,0.013168168251788319,0.9167426779456835,0.08902238576854872,COMPLETE
15,15.11,2025-06-10 22:06:52.200028,2025-06-10 22:06:52.832982,0 days 00:00:00.632954,0.11923484780216903,0.962996642991276,0.019966922120851074,COMPLETE
16,8.39,2025-06-10 22:06:52.907676,2025-06-10 22:06:53.568230,0 days 00:00:00.660554,0.11508563794283183,0.9606111662990159,0.003989062626465794,COMPLETE
17,11.73,2025-06-10 22:06:53.585707,2025-06-10 22:06:54.223419,0 days 00:00:00.637712,0.06150844192868165,0.9525174209497981,0.016206837565968864,COMPLETE
18,7.259999999999999,2025-06-10 22:06:54.240007,2025-06-10 22:06:54.913241,0 days 00:00:00.673234,0.10586795901758522,0.9930283615013881,0.0012149706532619269,COMPLETE
19,12.870000000000001,2025-06-10 22:06:54.939778,2025-06-10 22:06:55.611575,0 days 00:00:00.671797,0.010339190584270325,0.9579428383557403,0.04282246139198173,COMPLETE
20,12.860000000000001,2025-06-10 22:06:55.628652,2025-06-10 22:06:56.304621,0 days 00:00:00.675969,0.07198146242637463,0.9017579748692708,0.009940302562238646,COMPLETE
21,11.739999999999998,2025-06-10 22:06:56.321424,2025-06-10 22:06:56.975174,0 days 00:00:00.653750,0.010236952890930781,0.9529439192816492,0.03273791238732574,COMPLETE
22,12.829999999999998,2025-06-10 22:06:56.990522,2025-06-10 22:06:57.637587,0 days 00:00:00.647065,0.023692974764394838,0.9647025196743563,0.044020384363308594,COMPLETE
23,12.82,2025-06-10 22:06:57.652778,2025-06-10 22:06:58.355576,0 days 00:00:00.702798,0.056644571639198636,0.9800109815768486,0.09694282567521746,COMPLETE
24,11.73,2025-06-10 22:06:58.370901,2025-06-10 22:06:59.032717,0 days 00:00:00.661816,0.13268614415589558,0.9568612976392523,0.02233372298778513,COMPLETE
25,12.82,2025-06-10 22:06:59.048153,2025-06-10 22:06:59.707878,0 days 00:00:00.659725,0.0870585652604397,0.9258161670303447,0.0645883984007054,COMPLETE
26,13.95,2025-06-10 22:06:59.723672,2025-06-10 22:07:00.349197,0 days 00:00:00.625525,0.0495723832478984,0.9785321019184822,0.005639387082759546,COMPLETE
27,13.950000000000001,2025-06-10 22:07:00.364878,2025-06-10 22:07:00.985080,0 days 00:00:00.620202,0.048607437925747884,0.9833084281140189,0.005298914167408757,COMPLETE
