number,value,datetime_start,datetime_complete,duration,params_episode_length,params_epsilon_max,params_epsilon_min,params_gamma,params_learning_rate,params_num_episodes,user_attrs_base_seed,user_attrs_collective_reward_mean,user_attrs_collective_reward_std,user_attrs_individual_reward_agent0_mean,user_attrs_individual_reward_agent0_std,user_attrs_num_episodes_mean,user_attrs_num_parallel_runs,user_attrs_run_0_collective_reward,user_attrs_run_0_individual_rewards,user_attrs_run_0_seed,user_attrs_run_0_total_individual_rewards,user_attrs_run_0_training_time_per_episode,user_attrs_run_0_training_time_total,user_attrs_run_1_collective_reward,user_attrs_run_1_individual_rewards,user_attrs_run_1_seed,user_attrs_run_1_total_individual_rewards,user_attrs_run_1_training_time_per_episode,user_attrs_run_1_training_time_total,user_attrs_run_2_collective_reward,user_attrs_run_2_individual_rewards,user_attrs_run_2_seed,user_attrs_run_2_total_individual_rewards,user_attrs_run_2_training_time_per_episode,user_attrs_run_2_training_time_total,user_attrs_run_3_collective_reward,user_attrs_run_3_individual_rewards,user_attrs_run_3_seed,user_attrs_run_3_total_individual_rewards,user_attrs_run_3_training_time_per_episode,user_attrs_run_3_training_time_total,user_attrs_solution_concept,user_attrs_total_individual_reward_agent0_mean,user_attrs_total_individual_reward_agent0_std,user_attrs_training_time_per_episode_mean,user_attrs_training_time_per_episode_std,user_attrs_training_time_total_mean,user_attrs_training_time_total_std,state
0,5.747499999999999,2025-06-12 21:15:08.650301,2025-06-12 21:15:12.996989,0 days 00:00:04.346688,32,0.9887847884950868,0.09387492526406599,0.9075642898508821,0.00023278492423252036,294,5708,5.747499999999999,2.17284807338203,0.28574999999999984,0.24148330687647954,290.0,4,6.669999999999999,"[0.2619999999999999, 0.40499999999999997]",5708,"[2.619999999999999, 4.05]",0.013753964983183762,3.988649845123291,1.9999999999999996,"[-0.09000000000000005, 0.2899999999999999]",6708,"[-0.9000000000000006, 2.8999999999999995]",0.014477663204587739,4.198522329330444,7.159999999999998,"[0.5619999999999998, 0.15399999999999997]",7708,"[5.619999999999998, 1.5399999999999996]",0.014321451351560396,4.153220891952515,7.159999999999999,"[0.4089999999999998, 0.30699999999999994]",8708,"[4.089999999999998, 3.0699999999999994]",0.013874669732718631,4.023654222488403,MinimaxSolutionConcept,2.857499999999999,2.414833068764795,0.014106937318012634,0.00030082871118739646,4.091011822223663,0.08724032624434491,COMPLETE
1,7.552499999999998,2025-06-12 21:15:13.076174,2025-06-12 21:15:16.434546,0 days 00:00:03.358372,44,0.761123937064424,0.06545484027718933,0.9808076840406005,0.052462044198878996,159,15713,7.552499999999998,1.23124682740708,0.18324999999999989,0.14012561329036174,150.0,4,9.529999999999998,"[0.3169999999999999, 0.636]",15713,"[3.169999999999999, 6.36]",0.020710460344950356,3.1065690517425537,6.699999999999998,"[0.2019999999999999, 0.46799999999999997]",16713,"[2.019999999999999, 4.68]",0.021155759493509927,3.1733639240264893,7.619999999999997,"[0.2629999999999999, 0.49899999999999994]",17713,"[2.629999999999999, 4.989999999999999]",0.020478458404541017,3.0717687606811523,6.359999999999998,"[-0.049000000000000155, 0.6849999999999999]",18713,"[-0.49000000000000155, 6.85]",0.02145268758138021,3.2179031372070312,MinimaxSolutionConcept,1.8324999999999987,1.4012561329036177,0.020949341456095377,0.0003790648894029737,3.1424012184143066,0.05685973341044604,COMPLETE
2,5.2574999999999985,2025-06-12 21:15:16.450060,2025-06-12 21:15:21.658219,0 days 00:00:05.208159,42,0.5398526284450775,0.19121328217278494,0.9621935665484118,0.013220249197941571,244,25716,5.2574999999999985,0.955781748099429,0.2352499999999999,0.10391673349369679,240.0,4,4.579999999999999,"[0.2339999999999999, 0.22399999999999992]",25716,"[2.339999999999999, 2.2399999999999993]",0.019586270054181416,4.70070481300354,6.839999999999999,"[0.3229999999999999, 0.36099999999999993]",26716,"[3.229999999999999, 3.6099999999999994]",0.019971556464831033,4.793173551559448,5.179999999999998,"[0.06599999999999986, 0.45199999999999985]",27716,"[0.6599999999999986, 4.519999999999999]",0.02115327715873718,5.076786518096924,4.429999999999998,"[0.3179999999999999, 0.12499999999999989]",28716,"[3.179999999999999, 1.249999999999999]",0.020032360156377157,4.807766437530518,MinimaxSolutionConcept,2.352499999999999,1.039167334936968,0.020185865958531696,0.0005841430195555689,4.844607830047607,0.14019432469333656,COMPLETE
3,5.179999999999997,2025-06-12 21:15:21.673176,2025-06-12 21:15:27.710427,0 days 00:00:06.037251,50,0.9957622991290881,0.09722849124378356,0.9750881255876402,0.0426091736445318,275,35721,5.179999999999997,1.901499408361728,0.21274999999999986,0.1375979196790417,270.0,4,2.8499999999999965,"[0.22999999999999984, 0.05499999999999985]",35721,"[2.2999999999999985, 0.5499999999999985]",0.021587611127782753,5.828655004501343,6.009999999999998,"[0.42499999999999993, 0.17599999999999985]",36721,"[4.249999999999999, 1.7599999999999985]",0.0202056884765625,5.455535888671875,7.829999999999998,"[0.14299999999999985, 0.64]",37721,"[1.4299999999999984, 6.4]",0.017625455503110534,4.758872985839844,4.029999999999998,"[0.052999999999999825, 0.3499999999999999]",38721,"[0.5299999999999983, 3.499999999999999]",0.01855318104779279,5.009358882904053,MinimaxSolutionConcept,2.127499999999998,1.375979196790417,0.019492984038812142,0.0015220301205156276,5.263105690479279,0.41094813253921947,COMPLETE
4,6.059999999999999,2025-06-12 21:15:27.725639,2025-06-12 21:15:32.353657,0 days 00:00:04.628018,26,0.9618136578685657,0.1383742012000133,0.9797794308468376,0.006405746270196109,356,45727,6.059999999999999,3.3652785917365007,0.2485,0.1666080730336919,350.0,4,4.369999999999999,"[0.344, 0.09299999999999997]",45727,"[3.4399999999999995, 0.9299999999999997]",0.011711579731532506,4.099052906036377,2.7699999999999987,"[0.10099999999999998, 0.176]",46727,"[1.0099999999999998, 1.7599999999999998]",0.012667785372052874,4.433724880218506,5.449999999999999,"[0.07599999999999993, 0.469]",47727,"[0.7599999999999993, 4.6899999999999995]",0.012835554395403181,4.492444038391113,11.65,"[0.47300000000000003, 0.692]",48727,"[4.73, 6.92]",0.011598244394574847,4.059385538101196,MinimaxSolutionConcept,2.485,1.666080730336919,0.012203290973390851,0.0005530310545326461,4.271151840686798,0.19356086908642622,COMPLETE
5,4.679999999999999,2025-06-12 21:15:32.369252,2025-06-12 21:15:38.933790,0 days 00:00:06.564538,34,0.8214402419420638,0.0905284340120768,0.905351389762245,0.0012865949445196602,359,55732,4.679999999999999,2.293654289556297,0.31449999999999995,0.10582414658290422,350.0,4,7.739999999999998,"[0.3849999999999999, 0.3889999999999999]",55732,"[3.8499999999999988, 3.889999999999999]",0.01691483633858817,5.920192718505859,5.869999999999999,"[0.44099999999999995, 0.1459999999999999]",56732,"[4.409999999999999, 1.459999999999999]",0.017194863046918595,6.018202066421509,1.7699999999999982,"[0.2629999999999999, -0.0860000000000001]",57732,"[2.629999999999999, -0.860000000000001]",0.018291827610560824,6.402139663696289,3.339999999999999,"[0.16899999999999996, 0.16499999999999995]",58732,"[1.6899999999999995, 1.6499999999999995]",0.0172201258795602,6.027044057846069,MinimaxSolutionConcept,3.144999999999999,1.0582414658290422,0.01740541321890695,0.0005256089140893965,6.091894626617432,0.18396311993128903,COMPLETE
6,5.937499999999997,2025-06-12 21:15:39.035900,2025-06-12 21:15:48.353882,0 days 00:00:09.317982,41,0.5858811210746874,0.14118331624873265,0.9016116573395061,0.030616635086526945,398,65739,5.937499999999997,0.33236839500770843,0.25074999999999986,0.14686962756131708,390.0,4,5.619999999999997,"[0.07799999999999989, 0.4839999999999999]",65739,"[0.7799999999999989, 4.839999999999999]",0.023550111819536257,9.18454360961914,6.409999999999998,"[0.17799999999999988, 0.4629999999999999]",66739,"[1.779999999999999, 4.629999999999999]",0.0230681150387495,8.996564865112305,5.629999999999998,"[0.4759999999999998, 0.08699999999999986]",67739,"[4.759999999999998, 0.8699999999999986]",0.023446856400905512,9.14427399635315,6.089999999999997,"[0.2709999999999999, 0.33799999999999986]",68739,"[2.709999999999999, 3.3799999999999986]",0.021885206760504306,8.53523063659668,MinimaxSolutionConcept,2.5074999999999985,1.468696275613171,0.022987572504923896,0.0006612657392866732,8.965153276920319,0.25789363832180245,COMPLETE
7,4.2924999999999995,2025-06-12 21:15:48.367886,2025-06-12 21:15:52.315829,0 days 00:00:03.947943,15,0.9243445293550596,0.040364358297530864,0.9017339821804679,0.0012702280439038055,476,75748,4.2924999999999995,1.2336404459971309,0.21350000000000002,0.08909685740810389,470.0,4,5.9399999999999995,"[0.294, 0.3]",75748,"[2.94, 3.0]",0.007830169860352862,3.6801798343658447,4.879999999999999,"[0.079, 0.409]",76748,"[0.79, 4.09]",0.00808714247764425,3.800956964492798,2.6599999999999997,"[0.294, -0.02799999999999999]",77748,"[2.94, -0.2799999999999999]",0.008018357703026304,3.7686281204223633,3.6900000000000004,"[0.187, 0.18200000000000002]",78748,"[1.87, 1.8200000000000003]",0.00802246611169044,3.770559072494507,MinimaxSolutionConcept,2.135,0.890968574081039,0.007989534038178463,9.59683199681479e-05,3.755080997943878,0.04510511038502959,COMPLETE
8,4.867499999999999,2025-06-12 21:15:52.330148,2025-06-12 21:15:55.958229,0 days 00:00:03.628081,31,0.7201382653107257,0.13419849009066984,0.9233291380234709,0.012539367930640113,221,85752,4.867499999999999,2.3566435347756776,0.27374999999999994,0.18444291122187378,220.0,4,4.6099999999999985,"[0.05799999999999994, 0.4029999999999999]",85752,"[0.5799999999999994, 4.029999999999999]",0.015866814960132945,3.490699291229248,3.719999999999999,"[0.18299999999999994, 0.18899999999999995]",86752,"[1.8299999999999994, 1.8899999999999995]",0.015393681959672407,3.3866100311279297,8.719999999999999,"[0.558, 0.3139999999999999]",87752,"[5.58, 3.139999999999999]",0.014306599443609064,3.147451877593994,2.419999999999999,"[0.29599999999999993, -0.05400000000000008]",88752,"[2.959999999999999, -0.5400000000000008]",0.01555338664488359,3.4217450618743896,MinimaxSolutionConcept,2.7374999999999994,1.8444291122187377,0.015280120752074501,0.0005872657464575608,3.3616265654563904,0.1291984642206634,COMPLETE
9,4.457499999999999,2025-06-12 21:15:55.972541,2025-06-12 21:16:02.428031,0 days 00:00:06.455490,32,0.6552123189604357,0.06474403409707341,0.9303604951525387,0.005226829350238677,392,95755,4.457499999999999,3.5678941618271134,0.33999999999999997,0.16898224758831915,390.0,4,10.379999999999999,"[0.6169999999999999, 0.421]",95755,"[6.169999999999999, 4.21]",0.01592411077939547,6.210403203964233,0.8299999999999983,"[0.2729999999999999, -0.19000000000000009]",96755,"[2.729999999999999, -1.9000000000000008]",0.01623251621539776,6.330681324005127,3.4699999999999984,"[0.309, 0.03799999999999992]",97755,"[3.09, 0.3799999999999992]",0.015165376663208007,5.914496898651123,3.1499999999999986,"[0.16099999999999995, 0.15399999999999997]",98755,"[1.6099999999999994, 1.5399999999999996]",0.015907824345124073,6.204051494598389,MinimaxSolutionConcept,3.3999999999999995,1.6898224758831917,0.015807457000781327,0.0003926271143540589,6.164908230304718,0.15312457459808293,COMPLETE
