number,value,datetime_start,datetime_complete,duration,params_episode_length,params_epsilon_max,params_epsilon_min,params_gamma,params_learning_rate,params_num_episodes,user_attrs_base_seed,user_attrs_collective_reward_mean,user_attrs_collective_reward_std,user_attrs_individual_reward_agent0_mean,user_attrs_individual_reward_agent0_std,user_attrs_num_episodes_mean,user_attrs_num_parallel_runs,user_attrs_run_0_collective_reward,user_attrs_run_0_individual_rewards,user_attrs_run_0_seed,user_attrs_run_0_total_individual_rewards,user_attrs_run_0_training_time_per_episode,user_attrs_run_0_training_time_total,user_attrs_run_1_collective_reward,user_attrs_run_1_individual_rewards,user_attrs_run_1_seed,user_attrs_run_1_total_individual_rewards,user_attrs_run_1_training_time_per_episode,user_attrs_run_1_training_time_total,user_attrs_run_2_collective_reward,user_attrs_run_2_individual_rewards,user_attrs_run_2_seed,user_attrs_run_2_total_individual_rewards,user_attrs_run_2_training_time_per_episode,user_attrs_run_2_training_time_total,user_attrs_run_3_collective_reward,user_attrs_run_3_individual_rewards,user_attrs_run_3_seed,user_attrs_run_3_total_individual_rewards,user_attrs_run_3_training_time_per_episode,user_attrs_run_3_training_time_total,user_attrs_solution_concept,user_attrs_total_individual_reward_agent0_mean,user_attrs_total_individual_reward_agent0_std,user_attrs_training_time_per_episode_mean,user_attrs_training_time_per_episode_std,user_attrs_training_time_total_mean,user_attrs_training_time_total_std,state
0,5.52,2025-06-12 21:36:50.987578,2025-06-12 21:36:55.922661,0 days 00:00:04.935083,20,0.8177272672756405,0.1882089769188977,0.9603695745733436,0.000493296539680495,464,7011,5.52,1.8106214402795515,0.6247499999999999,0.1623058455509228,460.0,4,4.33,"[0.623, -0.19]",7011,"[6.23, -1.9]",0.010426987772402556,4.796414375305176,3.2600000000000007,"[0.3979999999999999, -0.07200000000000004]",8011,"[3.979999999999999, -0.7200000000000004]",0.00998798712440159,4.5944740772247314,7.809999999999998,"[0.857, -0.07600000000000004]",9011,"[8.57, -0.7600000000000005]",0.009539299944172734,4.388077974319458,6.680000000000001,"[0.6209999999999999, 0.046999999999999986]",10011,"[6.209999999999999, 0.46999999999999986]",0.009951872929282811,4.577861547470093,NashSolutionConcept,6.2475000000000005,1.6230584555092282,0.009976536942564923,0.00031417414083581726,4.5892069935798645,0.1445201047844759,COMPLETE
1,7.2425,2025-06-12 21:36:55.997502,2025-06-12 21:37:02.255067,0 days 00:00:06.257565,39,0.535162522675715,0.17655893275285542,0.9770244044091081,0.021039600593849534,319,17016,7.2425,0.8758246114377014,0.7689999999999999,0.14388015846530056,310.0,4,8.37,"[0.9559999999999998, -0.11900000000000015]",17016,"[9.559999999999999, -1.1900000000000015]",0.01864978882574266,5.781434535980225,7.329999999999999,"[0.841, -0.10800000000000014]",18016,"[8.41, -1.0800000000000014]",0.019780099776483352,6.131830930709839,5.909999999999998,"[0.7070000000000001, -0.11600000000000013]",19016,"[7.07, -1.1600000000000013]",0.01918305504706598,5.946747064590454,7.359999999999999,"[0.5719999999999998, 0.16399999999999992]",20016,"[5.719999999999999, 1.6399999999999992]",0.016760256213526573,5.195679426193237,NashSolutionConcept,7.6899999999999995,1.4388015846530056,0.018593299965704642,0.001131320603936319,5.763922989368439,0.35070938722025896,COMPLETE
2,3.432499999999999,2025-06-12 21:37:02.269932,2025-06-12 21:37:05.183693,0 days 00:00:02.913761,26,0.7798922026461708,0.11080995683624105,0.9021893606100168,0.0006693083647608237,194,27022,3.432499999999999,2.945567644784278,0.44575,0.2361857055369778,190.0,4,3.4899999999999993,"[0.351, -0.002000000000000041]",27022,"[3.51, -0.020000000000000406]",0.014642173365542762,2.782012939453125,0.8599999999999993,"[0.336, -0.25000000000000006]",28022,"[3.3600000000000003, -2.5000000000000004]",0.014484794516312448,2.7521109580993652,1.1599999999999993,"[0.24699999999999997, -0.13100000000000006]",29022,"[2.4699999999999998, -1.3100000000000005]",0.014309383693494295,2.718782901763916,8.219999999999999,"[0.8489999999999999, -0.02700000000000004]",30022,"[8.489999999999998, -0.2700000000000004]",0.01307338789889687,2.4839437007904053,NashSolutionConcept,4.4575,2.3618570553697777,0.014127434868561594,0.0006198350642043462,2.684212625026703,0.11776866219882588,COMPLETE
3,5.342499999999999,2025-06-12 21:37:05.198030,2025-06-12 21:37:11.747316,0 days 00:00:06.549286,24,0.6222869892324101,0.05242360963928187,0.9283975446202757,0.004990219243925309,484,37025,5.342499999999999,1.614657471416151,0.6137499999999999,0.08450850548909268,480.0,4,6.199999999999999,"[0.617, 0.002999999999999936]",37025,"[6.17, 0.02999999999999936]",0.012389099101225536,5.946767568588257,7.559999999999999,"[0.74, 0.01599999999999995]",38025,"[7.4, 0.15999999999999948]",0.012272303799788158,5.890705823898315,3.959999999999999,"[0.5029999999999999, -0.10700000000000003]",39025,"[5.029999999999999, -1.0700000000000003]",0.012759414811929068,6.124519109725952,3.65,"[0.5949999999999999, -0.23000000000000004]",40025,"[5.949999999999998, -2.3000000000000003]",0.013329501450061797,6.398160696029663,NashSolutionConcept,6.1375,0.8450850548909268,0.012687579790751139,0.0004119370575857883,6.090038299560547,0.1977297876411786,COMPLETE
4,2.1924999999999972,2025-06-12 21:37:11.761432,2025-06-12 21:37:16.515266,0 days 00:00:04.753834,50,0.9795400964462069,0.047297046543815446,0.9403501460562818,0.0002665355300188989,212,47031,2.1924999999999972,1.7620353997579052,0.44299999999999995,0.16013900212003324,210.0,4,0.08999999999999658,"[0.24299999999999988, -0.23400000000000026]",47031,"[2.429999999999999, -2.3400000000000025]",0.02146718842642648,4.5081095695495605,2.719999999999997,"[0.4779999999999999, -0.20600000000000018]",48031,"[4.779999999999999, -2.060000000000002]",0.020551602045694988,4.315836429595947,4.779999999999998,"[0.6799999999999999, -0.20200000000000023]",49031,"[6.799999999999999, -2.0200000000000022]",0.0220002844220116,4.6200597286224365,1.179999999999997,"[0.3709999999999999, -0.2530000000000002]",50031,"[3.709999999999999, -2.530000000000002]",0.021933513595944358,4.606037855148315,NashSolutionConcept,4.43,1.6013900212003322,0.021488147122519355,0.0005784012139181823,4.512510895729065,0.12146425492281848,COMPLETE
5,5.807499999999999,2025-06-12 21:37:16.529252,2025-06-12 21:37:20.883058,0 days 00:00:04.353806,24,0.6905640425709694,0.10380365933002172,0.9180136199284025,0.008112984246843173,333,57036,5.807499999999999,1.1977557138248185,0.5529999999999999,0.12983065893693985,330.0,4,6.029999999999999,"[0.601, 0.0019999999999999406]",57036,"[6.01, 0.019999999999999407]",0.012802087899410364,4.22468900680542,6.15,"[0.381, 0.23399999999999999]",58036,"[3.81, 2.34]",0.011469963102629691,3.785087823867798,7.169999999999999,"[0.733, -0.016000000000000063]",59036,"[7.33, -0.16000000000000064]",0.012682131564978397,4.185103416442871,3.879999999999999,"[0.497, -0.10900000000000003]",60036,"[4.97, -1.0900000000000003]",0.012345716447541209,4.074086427688599,NashSolutionConcept,5.529999999999999,1.2983065893693986,0.012324974753639913,0.0005212180644849068,4.067241668701172,0.17200196128001927,COMPLETE
6,5.432500000000001,2025-06-12 21:37:20.971665,2025-06-12 21:37:23.125706,0 days 00:00:02.154041,26,0.7204773616427389,0.10016083277408509,0.990501874023598,0.09887627225869942,140,67040,5.432500000000001,1.3398017577238812,0.6092500000000001,0.1473641323389108,140.0,4,3.579999999999999,"[0.367, -0.00900000000000003]",67040,"[3.67, -0.0900000000000003]",0.014188602992466519,1.9864044189453125,6.109999999999999,"[0.7370000000000001, -0.12600000000000006]",68040,"[7.370000000000001, -1.2600000000000007]",0.014386406966618128,2.014096975326538,7.160000000000002,"[0.7180000000000002, -0.0020000000000000516]",69040,"[7.1800000000000015, -0.020000000000000517]",0.013825728212084089,1.9356019496917725,4.880000000000001,"[0.615, -0.12700000000000003]",70040,"[6.15, -1.2700000000000002]",0.014136896814618792,1.9791655540466309,NashSolutionConcept,6.092500000000001,1.4736413233891081,0.014134408746446883,0.00020107833178194544,1.9788172245025635,0.028150966449472375,COMPLETE
7,3.777499999999999,2025-06-12 21:37:23.141947,2025-06-12 21:37:26.399972,0 days 00:00:03.258025,33,0.7488517782963049,0.04013040636574117,0.9389055761646042,0.020944235827144837,174,77043,3.777499999999999,0.9114377378625486,0.5734999999999999,0.08857059331403397,170.0,4,5.159999999999998,"[0.7099999999999999, -0.1940000000000001]",77043,"[7.099999999999999, -1.9400000000000008]",0.01595133192398969,2.711726427078247,3.6299999999999994,"[0.5619999999999999, -0.1990000000000001]",78043,"[5.619999999999999, -1.9900000000000009]",0.01834713571211871,3.1190130710601807,2.5999999999999988,"[0.4619999999999999, -0.2020000000000001]",79043,"[4.619999999999999, -2.020000000000001]",0.017872012362760654,3.0382421016693115,3.719999999999999,"[0.5599999999999999, -0.1880000000000001]",80043,"[5.6, -1.8800000000000012]",0.018042411523706774,3.0672099590301514,NashSolutionConcept,5.734999999999999,0.8857059331403396,0.017553222880643957,0.0009403834966917557,2.9840478897094727,0.15986519443759858,COMPLETE
8,7.885,2025-06-12 21:37:26.414019,2025-06-12 21:37:30.292534,0 days 00:00:03.878515,21,0.6783311851511961,0.15689136105248103,0.9242951375117997,0.0009884329407157631,338,87046,7.885,1.841609350540989,0.61725,0.13868016260446195,330.0,4,10.940000000000001,"[0.7329999999999999, 0.361]",87046,"[7.329999999999998, 3.61]",0.011252316561612215,3.7132644653320312,6.39,"[0.7190000000000001, -0.08000000000000004]",88046,"[7.190000000000001, -0.8000000000000005]",0.011044664093942353,3.6447391510009766,6.479999999999999,"[0.3869999999999999, 0.26099999999999995]",89046,"[3.869999999999999, 2.6099999999999994]",0.011371658065102317,3.7526471614837646,7.729999999999999,"[0.63, 0.143]",90046,"[6.3, 1.43]",0.011029540408741344,3.6397483348846436,NashSolutionConcept,6.1725,1.3868016260446194,0.011174544782349558,0.00014387264982779804,3.687599778175354,0.04747797444317332,COMPLETE
9,4.737499999999999,2025-06-12 21:37:30.307491,2025-06-12 21:37:33.279293,0 days 00:00:02.971802,11,0.6629618006584221,0.13185256672599915,0.9568845211129835,0.0010308643780336999,418,97050,4.737499999999999,1.2309422204149145,0.5215000000000001,0.12126520523216874,410.0,4,4.459999999999999,"[0.546, -0.09999999999999999]",97050,"[5.460000000000001, -0.9999999999999999]",0.00691356542633801,2.834561824798584,4.52,"[0.552, -0.09999999999999999]",98050,"[5.5200000000000005, -0.9999999999999999]",0.006921408816081722,2.837777614593506,3.2799999999999994,"[0.32699999999999996, 0.0010000000000000148]",99050,"[3.2699999999999996, 0.010000000000000148]",0.006932295241006991,2.842241048812866,6.6899999999999995,"[0.661, 0.008000000000000007]",100050,"[6.61, 0.08000000000000007]",0.006849608770230922,2.8083395957946777,NashSolutionConcept,5.215,1.2126520523216875,0.006904219563414411,3.222343078204003e-05,2.8307300209999084,0.013211606620636432,COMPLETE
10,3.5625,2025-06-12 21:37:33.293615,2025-06-12 21:37:35.818542,0 days 00:00:02.524927,10,0.8865354187687676,0.15052800461767435,0.9049633474184919,0.00011536751877159783,395,107053,3.5625,1.3208212407438034,0.39300000000000007,0.11986450684001503,390.0,4,3.5499999999999994,"[0.34, 0.015000000000000008]",107053,"[3.4000000000000004, 0.15000000000000008]",0.005742122576786922,2.2394278049468994,4.62,"[0.5520000000000002, -0.08999999999999998]",108053,"[5.520000000000001, -0.8999999999999998]",0.005961811848175832,2.325106620788574,1.4100000000000001,"[0.231, -0.08999999999999998]",109053,"[2.31, -0.8999999999999998]",0.006074923735398512,2.36922025680542,4.67,"[0.449, 0.018000000000000016]",110053,"[4.49, 0.18000000000000016]",0.005952798403226412,2.321591377258301,NashSolutionConcept,3.9300000000000006,1.1986450684001502,0.00593291414089692,0.00012020670451394547,2.3138365149497986,0.04688061476043878,COMPLETE
11,4.334999999999999,2025-06-12 21:37:35.928995,2025-06-12 21:37:41.512269,0 days 00:00:05.583274,38,0.5653273426281695,0.1967232870328553,0.9808370613369175,0.02836060865708581,290,117055,4.334999999999999,0.5680889014934195,0.60375,0.11617739668283157,290.0,4,4.629999999999998,"[0.42899999999999994, 0.03399999999999989]",117055,"[4.289999999999999, 0.3399999999999989]",0.016825994951971648,4.879538536071777,3.3599999999999985,"[0.706, -0.37000000000000016]",118055,"[7.06, -3.7000000000000015]",0.018708898281228955,5.4255805015563965,4.5699999999999985,"[0.568, -0.11100000000000013]",119055,"[5.68, -1.1100000000000012]",0.016201239618761788,4.698359489440918,4.779999999999999,"[0.712, -0.23400000000000015]",120055,"[7.119999999999999, -2.3400000000000016]",0.018176847490771062,5.271285772323608,NashSolutionConcept,6.0375,1.1617739668283156,0.017478245085683363,0.001007313978803957,5.068691074848175,0.29212105385314774,COMPLETE
12,5.282499999999998,2025-06-12 21:37:41.526312,2025-06-12 21:37:48.027691,0 days 00:00:06.501379,41,0.5067774486999865,0.16023091248663532,0.9700434891130376,0.0020246575860117144,292,127061,5.282499999999998,2.5548911424951157,0.6227499999999999,0.06670972567774508,290.0,4,8.089999999999998,"[0.6589999999999999, 0.14999999999999986]",127061,"[6.589999999999999, 1.4999999999999987]",0.01946531821941507,5.644942283630371,7.209999999999997,"[0.714, 0.006999999999999862]",128061,"[7.14, 0.06999999999999862]",0.016496345914643388,4.783940315246582,1.629999999999998,"[0.563, -0.40000000000000024]",129061,"[5.629999999999999, -4.000000000000003]",0.019604886811355065,5.685417175292969,4.199999999999998,"[0.5549999999999999, -0.13500000000000015]",130061,"[5.549999999999999, -1.3500000000000014]",0.02190393332777352,6.352140665054321,NashSolutionConcept,6.227499999999999,0.667097256777451,0.019367621068296762,0.0019198268575398244,5.616610109806061,0.5567497886865493,COMPLETE
13,4.892499999999997,2025-06-12 21:37:48.042228,2025-06-12 21:37:56.155231,0 days 00:00:08.113003,46,0.5803008752486787,0.166835168432653,0.9967395671792663,0.013848058470024464,358,137068,4.892499999999997,0.5975104601594855,0.7989999999999998,0.06480354928551367,350.0,4,5.369999999999998,"[0.842, -0.3050000000000002]",137068,"[8.42, -3.050000000000002]",0.022675966535295758,7.936588287353516,5.109999999999997,"[0.8299999999999998, -0.31900000000000023]",138068,"[8.299999999999999, -3.190000000000002]",0.02055547169276646,7.194415092468262,3.8699999999999974,"[0.837, -0.4500000000000003]",139068,"[8.37, -4.500000000000003]",0.020697760581970214,7.244216203689575,5.219999999999998,"[0.6869999999999999, -0.16500000000000017]",140068,"[6.869999999999999, -1.6500000000000017]",0.0204325498853411,7.151392459869385,NashSolutionConcept,7.989999999999998,0.6480354928551368,0.021090437173843384,0.0009202040551080846,7.381653010845184,0.32207141928782973,COMPLETE
14,3.8374999999999986,2025-06-12 21:37:56.170391,2025-06-12 21:38:00.919357,0 days 00:00:04.748966,33,0.5293390530587541,0.13297024742231778,0.9738007275400911,0.002139121100503409,251,147076,3.8374999999999986,2.692140180228362,0.5187499999999999,0.1191057828151094,250.0,4,5.179999999999999,"[0.45299999999999985, 0.06499999999999992]",147076,"[4.5299999999999985, 0.6499999999999992]",0.017677331924438478,4.419332981109619,7.599999999999998,"[0.725, 0.03499999999999991]",148076,"[7.25, 0.34999999999999915]",0.017276921272277833,4.319230318069458,1.2599999999999985,"[0.4459999999999999, -0.3200000000000002]",149076,"[4.459999999999999, -3.200000000000002]",0.01838270664215088,4.59567666053772,1.3099999999999987,"[0.4509999999999999, -0.3200000000000002]",150076,"[4.509999999999999, -3.200000000000002]",0.018392650604248047,4.598162651062012,NashSolutionConcept,5.187499999999998,1.1910578281510942,0.01793240261077881,0.00047679103816964665,4.483100652694702,0.1191977595424117,COMPLETE
15,6.0825,2025-06-12 21:38:00.933964,2025-06-12 21:38:04.798508,0 days 00:00:03.864544,18,0.6295896927059312,0.17759265131128027,0.917564125428808,0.06973524203504315,363,157080,6.0825,1.0425539554382783,0.69075,0.13617337294787116,360.0,4,4.5,"[0.503, -0.053000000000000005]",157080,"[5.03, -0.53]",0.010255889760123359,3.692120313644409,7.02,"[0.639, 0.06299999999999997]",158080,"[6.390000000000001, 0.6299999999999997]",0.010119380553563435,3.642976999282837,5.79,"[0.749, -0.16999999999999998]",159080,"[7.49, -1.6999999999999997]",0.010323413875367907,3.7164289951324463,7.02,"[0.8720000000000001, -0.16999999999999998]",160080,"[8.72, -1.6999999999999997]",0.009681492381625705,3.485337257385254,NashSolutionConcept,6.907500000000001,1.3617337294787113,0.0100950441426701,0.00024982061935740894,3.6342158913612366,0.0899354229686671,COMPLETE
16,5.139999999999998,2025-06-12 21:38:04.924985,2025-06-12 21:38:09.580500,0 days 00:00:04.655515,39,0.8475970042473568,0.07995423750816592,0.9453256606135523,0.003928971776798248,248,167084,5.139999999999998,2.301227933082683,0.5924999999999999,0.06686366726406802,240.0,4,7.299999999999999,"[0.708, 0.02199999999999988]",167084,"[7.08, 0.2199999999999988]",0.01687593162059784,4.0502235889434814,1.699999999999998,"[0.5499999999999999, -0.3800000000000002]",168084,"[5.499999999999999, -3.8000000000000025]",0.01875790556271871,4.50189733505249,4.389999999999999,"[0.5499999999999999, -0.11100000000000014]",169084,"[5.499999999999999, -1.1100000000000014]",0.018745025992393492,4.4988062381744385,7.169999999999996,"[0.5619999999999999, 0.15499999999999986]",170084,"[5.619999999999999, 1.5499999999999985]",0.01857560078303019,4.458144187927246,NashSolutionConcept,5.924999999999999,0.6686366726406805,0.01823861598968506,0.0007900285109103844,4.377267837524414,0.18960684261849248,COMPLETE
17,5.455,2025-06-12 21:38:09.595909,2025-06-12 21:38:13.763139,0 days 00:00:04.167230,16,0.5952792877028378,0.14553137572736916,0.9300791493666227,0.04499687843056023,433,177089,5.455,1.2580242445994434,0.639,0.08042698552103023,430.0,4,3.79,"[0.5289999999999999, -0.14999999999999997]",177089,"[5.289999999999999, -1.4999999999999996]",0.008854696362517601,3.8075194358825684,5.92,"[0.6299999999999999, -0.038]",178089,"[6.299999999999999, -0.38]",0.009218332379363304,3.9638829231262207,4.91,"[0.641, -0.14999999999999997]",179089,"[6.41, -1.4999999999999996]",0.009048935978911644,3.891042470932007,7.2,"[0.756, -0.03599999999999999]",180089,"[7.5600000000000005, -0.3599999999999999]",0.009318528618923454,4.006967306137085,NashSolutionConcept,6.390000000000001,0.8042698552103024,0.009110123334929,0.00017615957997355844,3.91735303401947,0.07574861938863019,COMPLETE
