number,value,datetime_start,datetime_complete,duration,params_episode_length,params_epsilon_max,params_epsilon_min,params_gamma,params_learning_rate,params_num_episodes,user_attrs_base_seed,user_attrs_collective_reward_mean,user_attrs_collective_reward_std,user_attrs_individual_reward_agent0_mean,user_attrs_individual_reward_agent0_std,user_attrs_num_episodes_mean,user_attrs_num_parallel_runs,user_attrs_run_0_collective_reward,user_attrs_run_0_individual_rewards,user_attrs_run_0_seed,user_attrs_run_0_total_individual_rewards,user_attrs_run_0_training_time_per_episode,user_attrs_run_0_training_time_total,user_attrs_run_1_collective_reward,user_attrs_run_1_individual_rewards,user_attrs_run_1_seed,user_attrs_run_1_total_individual_rewards,user_attrs_run_1_training_time_per_episode,user_attrs_run_1_training_time_total,user_attrs_run_2_collective_reward,user_attrs_run_2_individual_rewards,user_attrs_run_2_seed,user_attrs_run_2_total_individual_rewards,user_attrs_run_2_training_time_per_episode,user_attrs_run_2_training_time_total,user_attrs_run_3_collective_reward,user_attrs_run_3_individual_rewards,user_attrs_run_3_seed,user_attrs_run_3_total_individual_rewards,user_attrs_run_3_training_time_per_episode,user_attrs_run_3_training_time_total,user_attrs_solution_concept,user_attrs_total_individual_reward_agent0_mean,user_attrs_total_individual_reward_agent0_std,user_attrs_training_time_per_episode_mean,user_attrs_training_time_per_episode_std,user_attrs_training_time_total_mean,user_attrs_training_time_total_std,state
0,8.1975,2025-06-12 17:06:44.286340,2025-06-12 17:06:53.706081,0 days 00:00:09.419741,21,0.9399625807473613,0.1560990087811912,0.9736759344574757,0.00048580837295841584,217,804,8.1975,2.7206008068072025,0.68825,0.20610964921613933,210.0,4,7.6899999999999995,"[0.742, 0.026999999999999958]",804,"[7.42, 0.2699999999999996]",0.04089823677426293,8.588629722595215,10.31,"[0.706, 0.32499999999999984]",1804,"[7.06, 3.2499999999999982]",0.04195069358462379,8.809645652770996,10.829999999999998,"[0.9390000000000001, 0.14399999999999996]",2804,"[9.39, 1.4399999999999995]",0.037317781221298946,7.836734056472778,3.959999999999999,"[0.366, 0.02999999999999996]",3804,"[3.66, 0.2999999999999996]",0.04351877030872163,9.138941764831543,ParetoSolutionConcept,6.8825,2.0610964921613935,0.040921370472226826,0.002279933257670181,8.593487799167633,0.4787859841107383,COMPLETE
1,6.992499999999999,2025-06-12 17:06:53.786294,2025-06-12 17:07:11.829843,0 days 00:00:18.043549,44,0.6326090707543275,0.03992453524758087,0.9323795911524464,0.007729193038164855,279,10813,6.992499999999999,4.035878931533998,0.6064999999999999,0.2620023854853235,270.0,4,7.9099999999999975,"[0.6789999999999999, 0.11199999999999988]",10813,"[6.789999999999999, 1.1199999999999988]",0.060827486603348344,16.423421382904053,4.909999999999999,"[0.5259999999999998, -0.035000000000000156]",11813,"[5.259999999999998, -0.35000000000000153]",0.06475445164574517,17.483701944351196,2.129999999999998,"[0.24799999999999991, -0.035000000000000156]",12813,"[2.479999999999999, -0.35000000000000153]",0.06624902707559091,17.887237310409546,13.02,"[0.9730000000000001, 0.3289999999999999]",13813,"[9.73, 3.289999999999999]",0.05418292681376139,14.629390239715576,ParetoSolutionConcept,6.0649999999999995,2.620023854853234,0.061503473034611456,0.004667346668953339,16.605937719345093,1.2601836006174014,COMPLETE
2,8.862499999999999,2025-06-12 17:07:11.843533,2025-06-12 17:07:22.544731,0 days 00:00:10.701198,24,0.8934408395614057,0.08537371219618138,0.9172447715201696,0.03706859049385494,216,20831,8.862499999999999,1.6447093208223762,0.72075,0.07874761901162472,210.0,4,8.23,"[0.71, 0.11299999999999995]",20831,"[7.1, 1.1299999999999994]",0.04628380366734096,9.719598770141602,7.379999999999999,"[0.623, 0.11499999999999995]",21831,"[6.23, 1.1499999999999995]",0.04280162084670294,8.988340377807617,11.65,"[0.843, 0.32199999999999995]",22831,"[8.43, 3.2199999999999998]",0.049923376809983024,10.483909130096436,8.189999999999998,"[0.707, 0.11199999999999996]",23831,"[7.069999999999999, 1.1199999999999997]",0.05018777052561442,10.539431810379028,ParetoSolutionConcept,7.2075,0.787476190116247,0.047299142962410334,0.003020322480755888,9.93282002210617,0.6342677209587368,COMPLETE
3,10.975,2025-06-12 17:07:22.559980,2025-06-12 17:07:46.614290,0 days 00:00:24.054310,37,0.5533754431714895,0.1658784209457924,0.918303787486777,0.0008468395261214832,451,30842,10.975,2.151540146034929,0.87625,0.0877250676830745,450.0,4,13.41,"[0.954, 0.3869999999999999]",30842,"[9.54, 3.869999999999999]",0.04854273160298665,21.844229221343994,8.139999999999999,"[0.8109999999999999, 0.0029999999999998804]",31842,"[8.11, 0.029999999999998805]",0.052226529121398926,23.501938104629517,12.67,"[0.769, 0.4979999999999999]",32842,"[7.69, 4.979999999999999]",0.05311529636383057,23.901883363723755,9.68,"[0.9710000000000001, -0.003000000000000108]",33842,"[9.71, -0.03000000000000108]",0.05170272615220812,23.266226768493652,ParetoSolutionConcept,8.7625,0.877250676830745,0.05139682081010606,0.0017234396849831505,23.12856936454773,0.7755478582424171,COMPLETE
4,7.269999999999999,2025-06-12 17:07:46.628360,2025-06-12 17:07:53.364835,0 days 00:00:06.736475,24,0.6595664883730397,0.09207881839226585,0.9935032955852389,0.004314664739953143,129,40866,7.269999999999999,1.2659581351687732,0.6677500000000001,0.09813097115589961,120.0,4,6.929999999999999,"[0.8009999999999999, -0.10800000000000003]",40866,"[8.01, -1.0800000000000003]",0.05488063295682271,6.585675954818726,9.369999999999997,"[0.7220000000000001, 0.21499999999999994]",41866,"[7.220000000000001, 2.1499999999999995]",0.05235766371091207,6.282919645309448,6.799999999999999,"[0.563, 0.11699999999999995]",42866,"[5.629999999999999, 1.1699999999999995]",0.050036102533340454,6.0043323040008545,5.9799999999999995,"[0.585, 0.012999999999999925]",43866,"[5.85, 0.12999999999999926]",0.054187023639678956,6.502442836761475,ParetoSolutionConcept,6.6775,0.9813097115589964,0.05286535571018854,0.0018755381362077933,6.343842685222626,0.22506457634493526,COMPLETE
5,9.745,2025-06-12 17:10:29.944964,2025-06-12 17:10:36.965344,0 days 00:00:07.020380,17,0.6108119184633266,0.08068464153996524,0.9683222411896598,0.01445530686100249,176,51029,9.745,2.849249901289812,0.71025,0.14357989935920704,170.0,4,10.120000000000001,"[0.8300000000000001, 0.182]",51029,"[8.3, 1.8199999999999998]",0.03945348543279311,6.707092523574829,13.81,"[0.8640000000000001, 0.5169999999999999]",52029,"[8.64, 5.169999999999999]",0.03435744117288028,5.840764999389648,5.799999999999999,"[0.5139999999999999, 0.06599999999999998]",53029,"[5.139999999999999, 0.6599999999999997]",0.040227313602671906,6.838643312454224,9.25,"[0.633, 0.29200000000000004]",54029,"[6.33, 2.9200000000000004]",0.03672349733464858,6.242994546890259,ParetoSolutionConcept,7.102499999999999,1.4357989935920703,0.03769043438574847,0.0023231399104207233,6.40737384557724,0.39493378477152274,COMPLETE
6,8.472500000000002,2025-06-12 17:10:37.102380,2025-06-12 17:10:45.543516,0 days 00:00:08.441136,10,0.984594724549875,0.14453261835248088,0.9827486795969671,0.029921559718130195,387,61037,8.472500000000002,2.416799277970763,0.6524999999999999,0.09833234462779779,380.0,4,5.690000000000001,"[0.5589999999999999, 0.010000000000000014]",61037,"[5.59, 0.10000000000000014]",0.02031112219157972,7.718226432800293,9.91,"[0.7609999999999999, 0.23000000000000007]",62037,"[7.609999999999999, 2.3000000000000007]",0.02131482111780267,8.099632024765015,11.660000000000002,"[0.74, 0.426]",63037,"[7.4, 4.26]",0.021740450984553288,8.261371374130249,6.63,"[0.55, 0.11300000000000002]",64037,"[5.5, 1.1300000000000001]",0.019282639026641846,7.327402830123901,ParetoSolutionConcept,6.525,0.9833234462779783,0.02066225833014438,0.000950655510984474,7.8516581654548645,0.36124909417409995,COMPLETE
7,5.944999999999999,2025-06-12 17:10:45.558136,2025-06-12 17:10:56.027757,0 days 00:00:10.469621,21,0.8936534530356248,0.023782124738979026,0.9713366403139183,0.0011887583714948748,255,71045,5.944999999999999,4.203180343501812,0.48724999999999996,0.14514195637375152,250.0,4,11.92,"[0.485, 0.707]",71045,"[4.85, 7.069999999999999]",0.04100142955780029,10.250357389450073,4.049999999999999,"[0.605, -0.2]",72045,"[6.05, -2.0]",0.03964176177978516,9.910440444946289,7.3,"[0.6079999999999999, 0.12199999999999993]",73045,"[6.079999999999998, 1.2199999999999993]",0.03948442363739014,9.871105909347534,0.5099999999999992,"[0.251, -0.2]",74045,"[2.51, -2.0]",0.041255301475524905,10.313825368881226,ParetoSolutionConcept,4.872499999999999,1.4514195637375154,0.04034572911262513,0.000789728131151725,10.08643227815628,0.1974320327879313,COMPLETE
8,9.62,2025-06-12 17:10:56.041929,2025-06-12 17:11:11.020492,0 days 00:00:14.978563,21,0.9274037132327067,0.12091849030218312,0.9402455452265919,0.08745553517899557,443,81056,9.62,3.175318881624334,0.7329999999999999,0.14376195602453384,440.0,4,14.650000000000002,"[0.97, 0.49499999999999994]",81056,"[9.7, 4.949999999999999]",0.0303861450065266,13.369903802871704,9.939999999999998,"[0.6169999999999999, 0.37699999999999995]",82056,"[6.169999999999999, 3.7699999999999996]",0.03189615173773332,14.034306764602661,7.499999999999998,"[0.726, 0.02399999999999998]",83056,"[7.26, 0.2399999999999998]",0.03129599798809398,13.770239114761353,6.389999999999998,"[0.619, 0.019999999999999966]",84056,"[6.1899999999999995, 0.19999999999999965]",0.033549092574553054,14.761600732803345,ParetoSolutionConcept,7.329999999999998,1.4376195602453383,0.03178184682672674,0.00115328398614578,13.984012603759766,0.5074449539041432,COMPLETE
9,5.459999999999998,2025-06-12 17:11:11.035261,2025-06-12 17:11:22.819551,0 days 00:00:11.784290,37,0.9423491656478713,0.1285917462306511,0.9483738053236731,0.000524568481523292,183,91071,5.459999999999998,1.4658956306640656,0.5337499999999998,0.0810628614101427,180.0,4,4.099999999999999,"[0.5079999999999998, -0.09800000000000011]",91071,"[5.079999999999998, -0.9800000000000011]",0.06239844560623169,11.231720209121704,5.859999999999998,"[0.4259999999999999, 0.15999999999999992]",92071,"[4.259999999999999, 1.5999999999999992]",0.06184143225351969,11.131457805633545,7.689999999999998,"[0.6509999999999999, 0.11799999999999991]",93071,"[6.509999999999999, 1.179999999999999]",0.06451396809683906,11.61251425743103,4.189999999999999,"[0.5499999999999999, -0.13100000000000012]",94071,"[5.499999999999999, -1.3100000000000012]",0.060366953743828666,10.86605167388916,ParetoSolutionConcept,5.337499999999999,0.810628614101427,0.06228019992510478,0.0014880129624732846,11.21043598651886,0.2678423332451913,COMPLETE
10,8.607499999999998,2025-06-12 17:11:22.833326,2025-06-12 17:11:55.742351,0 days 00:00:32.909025,49,0.5007632889083538,0.19932913960249393,0.9012975872883515,0.00016406228970312784,483,101082,8.607499999999998,2.9685634151892404,0.8079999999999998,0.08285227818231668,480.0,4,7.779999999999998,"[0.8699999999999999, -0.09200000000000019]",101082,"[8.7, -0.9200000000000019]",0.06820131341616313,32.7366304397583,7.899999999999998,"[0.667, 0.12299999999999982]",102082,"[6.67, 1.2299999999999982]",0.06236230731010437,29.933907508850098,5.319999999999997,"[0.8649999999999999, -0.3330000000000003]",103082,"[8.649999999999999, -3.3300000000000027]",0.060126228630542754,28.860589742660522,13.43,"[0.8299999999999998, 0.5129999999999999]",104082,"[8.299999999999999, 5.129999999999999]",0.059139219423135124,28.38682532310486,ParetoSolutionConcept,8.079999999999998,0.8285227818231671,0.06245726719498635,0.0035159019531253357,29.979488253593445,1.6876329375001604,COMPLETE
11,9.732499999999998,2025-06-12 17:11:55.849622,2025-06-12 17:12:14.576738,0 days 00:00:18.727116,34,0.5026838191727236,0.06124969593842708,0.9604095872675782,0.01121120414528472,368,111115,9.732499999999998,2.5268792511712945,0.7705,0.11153586867012787,360.0,4,5.989999999999998,"[0.6719999999999999, -0.0730000000000001]",111115,"[6.719999999999999, -0.7300000000000011]",0.049334088961283364,17.76027202606201,12.51,"[0.7, 0.5509999999999999]",112115,"[7.0, 5.51]",0.05026904543240865,18.096856355667114,11.509999999999998,"[0.9570000000000001, 0.19399999999999992]",113115,"[9.57, 1.9399999999999993]",0.04343210193845961,15.635556697845459,8.919999999999998,"[0.753, 0.13899999999999996]",114115,"[7.53, 1.3899999999999997]",0.051395327515072295,18.502317905426025,ParetoSolutionConcept,7.705,1.1153586867012786,0.048607640961805976,0.0030759304288428793,17.498750746250153,1.1073349543834368,COMPLETE
12,7.8075,2025-06-12 17:12:14.590785,2025-06-12 17:12:25.243861,0 days 00:00:10.653076,15,0.6217362949095341,0.18432474997090792,0.9281347603967226,0.0015619834164986189,345,121134,7.8075,2.702890813554998,0.62575,0.11859463520749998,340.0,4,6.7700000000000005,"[0.703, -0.026000000000000002]",121134,"[7.029999999999999, -0.26]",0.029352667752434225,9.979907035827637,9.41,"[0.6489999999999999, 0.2919999999999999]",122134,"[6.489999999999999, 2.919999999999999]",0.029584731073940503,10.05880856513977,3.9600000000000004,"[0.42600000000000005, -0.029999999999999992]",123134,"[4.260000000000001, -0.29999999999999993]",0.03080880080952364,10.474992275238037,11.09,"[0.725, 0.38399999999999995]",124134,"[7.25, 3.8399999999999994]",0.030070788018843705,10.22406792640686,ParetoSolutionConcept,6.2575,1.1859463520749998,0.029954246913685516,0.0005572888912309926,10.184443950653076,0.18947822301853734,COMPLETE
13,8.797499999999998,2025-06-12 17:12:25.258533,2025-06-12 17:12:32.699789,0 days 00:00:07.441256,31,0.7449129244021832,0.0614227125634923,0.9060338700747391,0.015553545267324139,102,131145,8.797499999999998,2.57963539090314,0.649,0.1126609959125163,100.0,4,8.899999999999999,"[0.8300000000000001, 0.05999999999999992]",131145,"[8.3, 0.5999999999999992]",0.06781065464019775,6.781065464019775,6.359999999999999,"[0.567, 0.06899999999999992]",132145,"[5.67, 0.6899999999999993]",0.06606873035430909,6.606873035430908,12.959999999999997,"[0.6559999999999999, 0.64]",133145,"[6.559999999999999, 6.4]",0.07257033824920654,7.257033824920654,6.969999999999998,"[0.5429999999999999, 0.15399999999999994]",134145,"[5.43, 1.5399999999999994]",0.06965788841247558,6.965788841247559,ParetoSolutionConcept,6.49,1.1266099591251628,0.06902690291404726,0.002407494622554327,6.902690291404724,0.24074946225543292,COMPLETE
14,9.849999999999998,2025-06-12 17:12:32.713789,2025-06-12 17:12:56.935118,0 days 00:00:24.221329,39,0.5706625409064385,0.10986645232989148,0.9582420719005329,0.0023616434468323685,428,141152,9.849999999999998,1.4092019017869655,0.76275,0.14804623433238687,420.0,4,10.53,"[0.9400000000000001, 0.1129999999999999]",141152,"[9.4, 1.129999999999999]",0.0546383125441415,22.94809126853943,7.929999999999999,"[0.794, -0.001000000000000123]",142152,"[7.94, -0.01000000000000123]",0.05237303972244263,21.996676683425903,9.24,"[0.788, 0.13599999999999993]",143152,"[7.880000000000001, 1.3599999999999992]",0.04857191698891776,20.40020513534546,11.7,"[0.529, 0.6409999999999999]",144152,"[5.29, 6.409999999999999]",0.057120076815287274,23.990432262420654,ParetoSolutionConcept,7.6274999999999995,1.4804623433238686,0.053175836517697285,0.003143899862233427,22.33385133743286,1.3204379421380392,COMPLETE
15,8.184999999999997,2025-06-12 17:12:56.949309,2025-06-12 17:13:21.967245,0 days 00:00:25.017936,40,0.5557773267038273,0.17439487550933971,0.9576609817381695,0.0024831918627183395,431,151176,8.184999999999997,2.2123121389171096,0.8119999999999998,0.1017767163942716,430.0,4,6.489999999999998,"[0.6609999999999999, -0.012000000000000111]",151176,"[6.609999999999999, -0.1200000000000011]",0.056472675744877306,24.28325057029724,5.619999999999997,"[0.8229999999999998, -0.2610000000000002]",152176,"[8.229999999999999, -2.6100000000000017]",0.05728992140570352,24.634666204452515,11.039999999999996,"[0.9479999999999998, 0.15599999999999992]",153176,"[9.479999999999999, 1.5599999999999992]",0.05195091824198878,22.338894844055176,9.589999999999998,"[0.8160000000000001, 0.14299999999999988]",154176,"[8.16, 1.4299999999999988]",0.05777021341545637,24.84119176864624,ParetoSolutionConcept,8.12,1.0177671639427162,0.05587093220200649,0.0023102707755852355,24.024500846862793,0.9934164335016517,COMPLETE
16,4.757499999999998,2025-06-12 17:13:22.091521,2025-06-12 17:13:52.856108,0 days 00:00:30.764587,42,0.7463148685437273,0.15864378142148694,0.9265977447451039,0.0001089329246899059,486,161202,4.757499999999998,1.1771443199540153,0.59925,0.07205683520666173,480.0,4,6.599999999999999,"[0.675, -0.015000000000000142]",161202,"[6.75, -0.1500000000000014]",0.06371332506338755,30.582396030426025,4.069999999999998,"[0.5359999999999999, -0.12900000000000017]",162202,"[5.359999999999999, -1.2900000000000018]",0.06177854239940643,29.653700351715088,3.4699999999999975,"[0.5189999999999999, -0.17200000000000018]",163202,"[5.1899999999999995, -1.7200000000000017]",0.059935023387273155,28.768811225891113,4.889999999999998,"[0.6669999999999999, -0.17800000000000016]",164202,"[6.669999999999999, -1.7800000000000016]",0.05788452923297882,27.784574031829834,ParetoSolutionConcept,5.992499999999999,0.720568352066617,0.06082785502076149,0.002161600036870323,29.197370409965515,1.0375680176977562,COMPLETE
17,8.614999999999998,2025-06-12 17:13:52.870087,2025-06-12 17:14:14.775347,0 days 00:00:21.905260,48,0.6851342920274448,0.12261095289542241,0.9148366701441337,0.0003705578622327731,325,171232,8.614999999999998,2.0442663720758114,0.6644999999999999,0.10986468950486325,320.0,4,6.029999999999998,"[0.534, 0.06899999999999987]",171232,"[5.34, 0.6899999999999986]",0.05944849476218224,19.023518323898315,7.659999999999998,"[0.7259999999999998, 0.03999999999999983]",172232,"[7.259999999999998, 0.39999999999999825]",0.06790940687060357,21.73101019859314,11.579999999999998,"[0.8110000000000002, 0.3469999999999999]",173232,"[8.110000000000001, 3.4699999999999993]",0.06265241354703903,20.04877233505249,9.189999999999998,"[0.5869999999999999, 0.3319999999999999]",174232,"[5.869999999999998, 3.319999999999999]",0.06088477224111557,19.483127117156982,ParetoSolutionConcept,6.645,1.0986468950486326,0.0627237718552351,0.0032017675640875587,20.071606993675232,1.0245656205080182,COMPLETE
18,11.124999999999998,2025-06-12 17:14:14.788963,2025-06-12 17:14:32.675379,0 days 00:00:17.886416,29,0.8173756329751213,0.13445701320385078,0.9514114650240897,0.0010473325370015391,395,181254,11.124999999999998,1.2102582369064878,0.82025,0.0998983858728459,390.0,4,9.85,"[0.6849999999999999, 0.29999999999999993]",181254,"[6.85, 2.999999999999999]",0.04473545367901142,17.446826934814453,11.229999999999999,"[0.818, 0.30499999999999994]",182254,"[8.18, 3.0499999999999994]",0.040578530384944037,15.825626850128174,10.379999999999997,"[0.8110000000000002, 0.22699999999999995]",183254,"[8.110000000000001, 2.2699999999999996]",0.045285121599833174,17.661197423934937,13.04,"[0.9670000000000002, 0.33699999999999986]",184254,"[9.670000000000002, 3.3699999999999983]",0.04214190152975229,16.435341596603394,ParetoSolutionConcept,8.2025,0.9989838587284589,0.04318525179838523,0.0019167782451342194,16.84224820137024,0.7475435156023456,COMPLETE
19,9.354999999999999,2025-06-12 17:14:32.688946,2025-06-12 17:14:51.919301,0 days 00:00:19.230355,29,0.816310908890368,0.1410922178319083,0.941993165788324,0.0008776881196295358,387,191272,9.354999999999999,1.9358008678580552,0.77975,0.06279480472140986,380.0,4,12.559999999999999,"[0.841, 0.4149999999999999]",191272,"[8.41, 4.1499999999999995]",0.049376418716029116,18.763039112091064,7.909999999999998,"[0.844, -0.05300000000000007]",192272,"[8.44, -0.5300000000000007]",0.04733390745363737,17.986884832382202,7.739999999999999,"[0.72, 0.05399999999999994]",193272,"[7.199999999999999, 0.5399999999999994]",0.050106185360958705,19.040350437164307,9.209999999999997,"[0.7140000000000001, 0.20699999999999993]",194272,"[7.140000000000001, 2.0699999999999994]",0.048079633085351244,18.27026057243347,ParetoSolutionConcept,7.7975,0.6279480472140987,0.04872403615399411,0.0010820873989646207,18.51513373851776,0.4111932116065554,COMPLETE
20,5.6324999999999985,2025-06-12 17:14:51.933656,2025-06-12 17:15:15.631172,0 days 00:00:23.697516,29,0.821303986698346,0.1781595915641543,0.9190719256261706,0.0002381577923964325,451,201291,5.6324999999999985,2.143762755064095,0.5609999999999998,0.2745050090617655,450.0,4,5.299999999999998,"[0.7059999999999998, -0.17600000000000007]",201291,"[7.059999999999999, -1.7600000000000007]",0.05222400930192735,23.50080418586731,6.229999999999999,"[0.6719999999999999, -0.049000000000000064]",202291,"[6.719999999999999, -0.49000000000000066]",0.051028399997287324,22.962779998779297,8.489999999999998,"[0.7759999999999999, 0.07299999999999995]",203291,"[7.759999999999999, 0.7299999999999995]",0.05022709051767985,22.602190732955933,2.509999999999999,"[0.08999999999999994, 0.16099999999999995]",204291,"[0.8999999999999995, 1.6099999999999994]",0.051584030257331,23.21281361579895,ParetoSolutionConcept,5.6099999999999985,2.745050090617655,0.05126588251855638,0.0007339468110315586,23.069647133350372,0.330276064964202,COMPLETE
21,9.564999999999998,2025-06-12 17:15:15.788763,2025-06-12 17:15:41.710487,0 days 00:00:25.921724,37,0.5696939127976131,0.10657777322395845,0.9607036167280869,0.0031308799831655187,402,211315,9.564999999999998,1.6780569120265258,0.7149999999999999,0.12926329718833574,400.0,4,12.309999999999999,"[0.8379999999999999, 0.3929999999999999]",211315,"[8.379999999999999, 3.929999999999999]",0.053460748195648194,21.384299278259277,9.429999999999998,"[0.5619999999999999, 0.38099999999999995]",212315,"[5.619999999999999, 3.8099999999999996]",0.06433548808097839,25.734195232391357,7.869999999999998,"[0.6119999999999999, 0.17499999999999993]",213315,"[6.119999999999999, 1.7499999999999993]",0.06103261649608612,24.41304659843445,8.65,"[0.8480000000000001, 0.01699999999999992]",214315,"[8.48, 0.1699999999999992]",0.0553383195400238,22.13532781600952,ParetoSolutionConcept,7.1499999999999995,1.2926329718833574,0.05854179307818413,0.004354605690892408,23.41671723127365,1.7418422763569639,COMPLETE
22,9.1375,2025-06-12 17:15:41.725264,2025-06-12 17:16:04.101579,0 days 00:00:22.376315,33,0.8229210925752654,0.11237913983754065,0.9495052112273588,0.0007397669681579955,420,221341,9.1375,2.5589682979669752,0.6954999999999999,0.09376166594083102,420.0,4,10.06,"[0.569, 0.437]",221341,"[5.6899999999999995, 4.37]",0.050418840703510104,21.175913095474243,7.51,"[0.8319999999999999, -0.08100000000000011]",222341,"[8.319999999999999, -0.8100000000000012]",0.05067056530997867,21.28163743019104,12.839999999999998,"[0.706, 0.578]",223341,"[7.06, 5.779999999999999]",0.04587694690341041,19.268317699432373,6.139999999999999,"[0.6749999999999999, -0.061000000000000075]",224341,"[6.749999999999999, -0.6100000000000008]",0.052719708851405554,22.142277717590332,ParetoSolutionConcept,6.954999999999999,0.9376166594083103,0.04992151544207619,0.0024998414519847236,20.967036485671997,1.0499334098335833,COMPLETE
23,7.009999999999999,2025-06-12 17:16:04.116133,2025-06-12 17:16:34.908104,0 days 00:00:30.791971,37,0.6876418498892223,0.13687680253230372,0.9374950712076106,0.0022344628269492903,499,231364,7.009999999999999,3.915175602702898,0.5884999999999999,0.10095667387547991,490.0,4,4.469999999999999,"[0.4279999999999998, 0.018999999999999885]",231364,"[4.2799999999999985, 0.18999999999999884]",0.06246756193589191,30.609105348587036,12.149999999999999,"[0.6809999999999999, 0.534]",232364,"[6.81, 5.34]",0.05604680606297084,27.462934970855713,9.249999999999998,"[0.6679999999999999, 0.25699999999999984]",233364,"[6.68, 2.5699999999999985]",0.059345067763815124,29.07908320426941,2.169999999999999,"[0.577, -0.3600000000000002]",234364,"[5.77, -3.6000000000000023]",0.061454988985645526,30.11294460296631,ParetoSolutionConcept,5.884999999999999,1.009566738754799,0.05982860618708085,0.0024568796285706993,29.316017031669617,1.2038710179996428,COMPLETE
