number,value,datetime_start,datetime_complete,duration,params_episode_length,params_epsilon_max,params_epsilon_min,params_gamma,params_learning_rate,params_num_episodes,user_attrs_base_seed,user_attrs_collective_reward_mean,user_attrs_collective_reward_std,user_attrs_individual_reward_agent0_mean,user_attrs_individual_reward_agent0_std,user_attrs_num_episodes_mean,user_attrs_num_parallel_runs,user_attrs_run_0_collective_reward,user_attrs_run_0_individual_rewards,user_attrs_run_0_seed,user_attrs_run_0_total_individual_rewards,user_attrs_run_0_training_time_per_episode,user_attrs_run_0_training_time_total,user_attrs_run_1_collective_reward,user_attrs_run_1_individual_rewards,user_attrs_run_1_seed,user_attrs_run_1_total_individual_rewards,user_attrs_run_1_training_time_per_episode,user_attrs_run_1_training_time_total,user_attrs_run_2_collective_reward,user_attrs_run_2_individual_rewards,user_attrs_run_2_seed,user_attrs_run_2_total_individual_rewards,user_attrs_run_2_training_time_per_episode,user_attrs_run_2_training_time_total,user_attrs_run_3_collective_reward,user_attrs_run_3_individual_rewards,user_attrs_run_3_seed,user_attrs_run_3_total_individual_rewards,user_attrs_run_3_training_time_per_episode,user_attrs_run_3_training_time_total,user_attrs_solution_concept,user_attrs_total_individual_reward_agent0_mean,user_attrs_total_individual_reward_agent0_std,user_attrs_training_time_per_episode_mean,user_attrs_training_time_per_episode_std,user_attrs_training_time_total_mean,user_attrs_training_time_total_std,state
0,3.6149999999999998,2025-06-12 21:50:41.256163,2025-06-12 21:50:43.300752,0 days 00:00:02.044589,28,0.9787602427407449,0.15689322235912948,0.9380646978308806,0.09805851259894312,120,7841,3.6149999999999998,1.8002569261080488,0.51125,0.10077295023963524,120.0,4,4.459999999999999,"[0.5889999999999999, -0.14300000000000004]",7841,"[5.889999999999999, -1.4300000000000004]",0.014692197243372599,1.763063669204712,5.75,"[0.49099999999999994, 0.08399999999999996]",8841,"[4.909999999999999, 0.8399999999999996]",0.015267624457677206,1.8321149349212646,3.3999999999999995,"[0.6100000000000001, -0.2700000000000001]",9841,"[6.100000000000001, -2.7000000000000006]",0.01423418124516805,1.708101749420166,0.8499999999999991,"[0.355, -0.2700000000000001]",10841,"[3.55, -2.7000000000000006]",0.015183496475219726,1.8220195770263672,WelfareSolutionConcept,5.1125,1.0077295023963526,0.014844374855359395,0.00041522221954853027,1.7813249826431274,0.0498266663458236,COMPLETE
1,4.274999999999999,2025-06-12 21:50:43.380843,2025-06-12 21:50:50.616815,0 days 00:00:07.235972,33,0.5172452742870952,0.025119571242886503,0.9522773236124974,0.02342060491620222,390,17843,4.274999999999999,1.9145430264164869,0.5259999999999999,0.11550108224601187,390.0,4,3.9799999999999986,"[0.597, -0.1990000000000001]",17843,"[5.97, -1.9900000000000009]",0.017368026880117564,6.77353048324585,6.499999999999999,"[0.591, 0.05899999999999992]",18843,"[5.91, 0.5899999999999992]",0.015242946453583546,5.944749116897583,5.2799999999999985,"[0.5899999999999999, -0.0620000000000001]",19843,"[5.899999999999999, -0.620000000000001]",0.01773230662712684,6.915599584579468,1.3399999999999985,"[0.32599999999999996, -0.19200000000000012]",20843,"[3.26, -1.9200000000000013]",0.018185363060388808,7.092291593551636,WelfareSolutionConcept,5.26,1.1550108224601185,0.017132160755304188,0.0011285138091270328,6.681542694568634,0.4401203855595429,COMPLETE
2,5.739999999999998,2025-06-12 21:50:50.631741,2025-06-12 21:50:54.990000,0 days 00:00:04.358259,21,0.8046276291073946,0.16880625386592896,0.9677600457985334,0.045908253393768375,397,27850,5.739999999999998,1.3223653050500073,0.56675,0.18086234406310234,390.0,4,4.159999999999999,"[0.37699999999999995, 0.038999999999999965]",27850,"[3.7699999999999996, 0.3899999999999997]",0.010841841575426933,4.228318214416504,5.4799999999999995,"[0.748, -0.2]",28850,"[7.48, -2.0]",0.00977032245733799,3.8104257583618164,5.489999999999998,"[0.39499999999999996, 0.15399999999999997]",29850,"[3.9499999999999997, 1.5399999999999996]",0.010090362720000438,3.935241460800171,7.829999999999998,"[0.747, 0.035999999999999956]",30850,"[7.47, 0.35999999999999954]",0.010137018179282163,3.953437089920044,WelfareSolutionConcept,5.6674999999999995,1.8086234406310233,0.010209886233011882,0.0003912094998554375,3.981855630874634,0.15257170494362052,COMPLETE
3,2.8399999999999976,2025-06-12 21:50:55.004522,2025-06-12 21:51:04.361978,0 days 00:00:09.357456,46,0.8199982936962371,0.027566537525465833,0.9411058179031507,0.0844903000719661,430,37855,2.8399999999999976,2.7497272592022655,0.41124999999999995,0.3525247331748512,430.0,4,3.8999999999999977,"[0.41, -0.02000000000000012]",37855,"[4.1, -0.20000000000000118]",0.01992903698322385,8.569485902786255,3.959999999999998,"[0.701, -0.30500000000000027]",38855,"[7.01, -3.0500000000000025]",0.019950294494628908,8.57862663269043,5.3199999999999985,"[0.698, -0.16600000000000018]",39855,"[6.9799999999999995, -1.6600000000000017]",0.017067433512488076,7.338996410369873,-1.8200000000000032,"[-0.16400000000000017, -0.01800000000000016]",40855,"[-1.6400000000000017, -0.1800000000000016]",0.021434555497280388,9.216858863830566,WelfareSolutionConcept,4.1125,3.525247331748512,0.019595330121905306,0.0015819585348959746,8.425991952419281,0.6802421700052687,COMPLETE
4,1.1799999999999988,2025-06-12 21:51:04.375955,2025-06-12 21:51:06.776779,0 days 00:00:02.400824,32,0.6014952683728607,0.04979588534801194,0.9564563899148872,0.00018818071885426057,115,47864,1.1799999999999988,1.6176989831238697,0.2709999999999999,0.14210383527547735,110.0,4,3.9799999999999995,"[0.4669999999999999, -0.06900000000000009]",47864,"[4.669999999999999, -0.6900000000000008]",0.01728497635234486,1.9013473987579346,0.27999999999999836,"[0.08199999999999993, -0.05400000000000007]",48864,"[0.8199999999999994, -0.5400000000000007]",0.019824697754599833,2.1807167530059814,0.3099999999999986,"[0.2099999999999999, -0.17900000000000008]",49864,"[2.099999999999999, -1.7900000000000007]",0.01996886513449929,2.196575164794922,0.14999999999999836,"[0.3249999999999999, -0.3100000000000001]",50864,"[3.249999999999999, -3.100000000000001]",0.019423770904541015,2.1366147994995117,WelfareSolutionConcept,2.709999999999999,1.4210383527547734,0.019125577536496248,0.0010812764512547566,2.1038135290145874,0.11894040963802319,COMPLETE
5,2.469999999999998,2025-06-12 21:51:06.790960,2025-06-12 21:51:14.186159,0 days 00:00:07.395199,31,0.5621950013634066,0.1410849214761897,0.9368731886739399,0.00025951603025628635,452,57866,2.469999999999998,3.024780983806927,0.32575,0.2278161265143449,450.0,4,5.199999999999998,"[0.4499999999999999, 0.06999999999999995]",57866,"[4.499999999999999, 0.6999999999999995]",0.013766680823432074,6.195006370544434,5.159999999999998,"[0.5609999999999999, -0.045000000000000075]",58866,"[5.609999999999999, -0.45000000000000073]",0.015261139339870876,6.8675127029418945,1.6599999999999988,"[0.33599999999999997, -0.1700000000000001]",59866,"[3.3599999999999994, -1.700000000000001]",0.016114580896165635,7.251561403274536,-2.1400000000000015,"[-0.04400000000000008, -0.17000000000000007]",60866,"[-0.44000000000000083, -1.7000000000000006]",0.015911680857340495,7.160256385803223,WelfareSolutionConcept,3.2574999999999994,2.278161265143449,0.015263520479202269,0.000919911725930931,6.868584215641022,0.41396027666891894,COMPLETE
6,0.684999999999998,2025-06-12 21:51:14.285886,2025-06-12 21:51:19.206529,0 days 00:00:04.920643,38,0.8766298275015252,0.11085505862871096,0.9938301433134361,0.007621040008894894,253,67874,0.684999999999998,0.9655179956893607,0.27174999999999994,0.14724193526302212,250.0,4,0.719999999999998,"[0.4419999999999999, -0.37000000000000016]",67874,"[4.419999999999999, -3.7000000000000015]",0.018035924911499024,4.508981227874756,2.049999999999998,"[0.03599999999999989, 0.16899999999999996]",68874,"[0.35999999999999893, 1.6899999999999995]",0.018010676383972166,4.502669095993042,-0.6800000000000025,"[0.30199999999999994, -0.37000000000000016]",69874,"[3.0199999999999996, -3.7000000000000015]",0.019015398025512695,4.753849506378174,0.6499999999999985,"[0.30699999999999994, -0.24200000000000013]",70874,"[3.0699999999999994, -2.4200000000000013]",0.01718911647796631,4.297279119491577,WelfareSolutionConcept,2.7174999999999994,1.4724193526302212,0.018062778949737547,0.0006469553761352436,4.515694737434387,0.16173884403381097,COMPLETE
7,2.9374999999999982,2025-06-12 21:51:19.223716,2025-06-12 21:51:22.141075,0 days 00:00:02.917359,39,0.8062466091182701,0.06110607236816015,0.9131841067374632,0.00861508311679055,121,77879,2.9374999999999982,1.3972182184612396,0.5369999999999999,0.14085808461000746,120.0,4,3.3599999999999985,"[0.578, -0.24200000000000016]",77879,"[5.779999999999999, -2.4200000000000017]",0.020666873455047606,2.480024814605713,4.419999999999998,"[0.6880000000000001, -0.24600000000000016]",78879,"[6.880000000000001, -2.4600000000000017]",0.022931458552678426,2.751775026321411,0.639999999999998,"[0.3059999999999999, -0.24200000000000021]",79879,"[3.0599999999999987, -2.420000000000002]",0.02214332620302836,2.6571991443634033,3.3299999999999974,"[0.576, -0.24300000000000016]",80879,"[5.76, -2.4300000000000015]",0.02086376945177714,2.503652334213257,WelfareSolutionConcept,5.369999999999999,1.4085808461000746,0.021651356915632886,0.0009314230615428971,2.598162829875946,0.11177076738514766,COMPLETE
8,3.5249999999999986,2025-06-12 21:51:22.158467,2025-06-12 21:51:24.602629,0 days 00:00:02.444162,39,0.9625622662651305,0.09854962215156389,0.9165943615394821,0.00010852158221411885,116,87882,3.5249999999999986,2.8547723201684585,0.5332499999999999,0.1669436656480263,110.0,4,-0.7400000000000023,"[0.30599999999999994, -0.3800000000000002]",87882,"[3.0599999999999996, -3.8000000000000025]",0.020919587395407935,2.301154613494873,7.209999999999999,"[0.705, 0.015999999999999896]",88882,"[7.05, 0.15999999999999898]",0.019323073733936658,2.1255381107330322,4.389999999999999,"[0.6809999999999999, -0.24200000000000021]",89882,"[6.81, -2.420000000000002]",0.019187810204245828,2.110659122467041,3.239999999999998,"[0.44099999999999995, -0.11700000000000013]",90882,"[4.409999999999999, -1.1700000000000013]",0.018746952577070757,2.062164783477783,WelfareSolutionConcept,5.3325,1.6694366564802632,0.019544355977665295,0.0008220712188671723,2.1498791575431824,0.09042783407538903,COMPLETE
9,4.9,2025-06-12 21:51:24.617012,2025-06-12 21:51:29.370302,0 days 00:00:04.753290,23,0.860169945780416,0.16873121694471274,0.9537504332885339,0.0003024419280192792,382,97884,4.9,2.1664140878419347,0.40974999999999995,0.10774129895263006,380.0,4,2.659999999999999,"[0.246, 0.01999999999999994]",97884,"[2.46, 0.1999999999999994]",0.011913995993764777,4.527318477630615,2.8899999999999997,"[0.5090000000000001, -0.22000000000000003]",98884,"[5.090000000000002, -2.2]",0.012109000431863885,4.601420164108276,7.61,"[0.5039999999999999, 0.2569999999999999]",99884,"[5.039999999999999, 2.569999999999999]",0.010987337639457301,4.175188302993774,6.4399999999999995,"[0.37999999999999984, 0.2639999999999999]",100884,"[3.7999999999999985, 2.639999999999999]",0.01146679489236129,4.35738205909729,WelfareSolutionConcept,4.097499999999999,1.0774129895263007,0.011619282239361813,0.00043280667550464104,4.415327250957489,0.16446653669176362,COMPLETE
